product_code,detail_desc
112679,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
141661,"Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
146706,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
147339,Short-sleeved bodysuits in organic cotton jersey with press-studs at the crotch.
174057,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
176550,"Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
187949,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
189383,"Long-sleeved bodysuit in soft, ribbed organic cotton jersey with a polo neck, concealed press-studs on one shoulder and press-studs at the crotch."
199119,Shorts in soft organic cotton jersey with elastication and ties at the waist.
217207,Pyjamas in soft organic cotton jersey with short sleeves and legs and press-stud fasteners.
240840,Leggings in soft organic cotton jersey with an elasticated waist.
244269,Long-sleeved bodysuit in ribbed organic cotton jersey with ribbing at the cuffs and press-studs at the top and crotch.
244853,"Jacket in sweatshirt fabric made from organic cotton with a jersey-lined hood, zip at the front, and ribbing at the cuffs and hem. Brushed inside."
247072,"All-in-one pyjamas in soft, organic cotton jersey with short sleeves, short legs and press-stud fastenings."
254457,Short-sleeved dress in soft organic cotton jersey.
256096,Short-sleeved Henley shirt in organic cotton jersey with press-studs at the top.
276242,"Long-sleeved dress in soft, patterned organic cotton jersey."
277738,"All-in-one suit in organic cotton sweatshirt fabric with a jersey-lined hood, zip down the front, front pockets and ribbing at the cuffs and hems."
285602,"Short-sleeved bodysuit in organic cotton jersey with a collar, buttons at the top and press-studs at the crotch."
288575,Short-sleeved bodysuit in organic cotton jersey with press-studs at the front and at the crotch.
290519,"Cardigan in soft organic cotton sweatshirt fabric with a stand-up collar, press-studs down the front, and ribbing around the neckline, cuffs and hem. Soft brushed inside."
308154,Long-sleeved bodysuit in soft organic cotton jersey with a ribbed collar and press-studs at the top and crotch.
308158,Long-sleeved bodysuit in soft organic cotton jersey with a rounded collar and press-studs at the back and crotch. Scalloped edges at the collar and cuffs.
310091,"All-in-one pyjamas in soft cotton jersey with a zip down the front and along one leg, long sleeves and full feet."
312058,"Short-sleeved bodysuit in organic cotton jersey with a collar, short puff sleeves with scalloped edges, buttons at the neck and press-studs at the crotch."
318914,Leggings in soft sweatshirt fabric made from an organic cotton blend with an elasticated waist. Soft brushed inside.
318951,"Long-sleeved top in soft, organic cotton jersey with a chest pocket and a press-stud on one shoulder (sizes 1-4Y without a press-stud)."
319811,"Sleeveless romper suit in soft, ribbed organic cotton jersey with press-studs at the top, short legs and press-studs at the crotch."
331062,Fleece Santa suit with press-stud fastenings and a hat with a contrasting colour trim and fleece pompom on the top.
333323,Fine-knit socks in a soft cotton blend with a foldover shaft. (Sizes 3-9 with anti-slip protectors.) The socks are made partly from organic cotton.
342345,"Long-sleeved, all-in-one pyjamas in soft organic cotton jersey with press-studs down the front and along one leg and ribbing at the cuffs and hems."
345815,Sleeveless bodysuits in ribbed organic cotton jersey with press-studs at the crotch.
345830,Bodysuits in soft organic cotton jersey with narrow shoulder straps and press-studs at the crotch.
347975,Short-sleeved bodysuits in organic cotton jersey with press-studs on one shoulder and at the crotch.
347983,Short-sleeved bodysuits in organic cotton jersey with a concealed press-stud on one shoulder and at the crotch. One patterned and one in a solid colour.
348330,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
348995,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
349669,Adjustable elastic braces with metal fasteners and imitation leather details.
350135,Trousers in sturdy organic cotton jersey with an elasticated waist and back pockets.
354246,T-shirt in organic cotton jersey with long raglan sleeves in a contrasting colour and press-studs at the back of the neck.
359043,Shorts in lightweight organic cotton sweatshirt fabric with an elasticated drawstring waist.
364297,Trousers in sweatshirt fabric made from organic cotton with an elasticated drawstring waist and ribbed hems. Soft brushed inside.
373698,Sleeveless all-in-one pyjamas in soft organic cotton jersey with short legs and press-studs at the crotch.
377239,Trousers in soft jersey with an elasticated waist and ribbed hems.
386399,"Pyjamas in soft organic cotton jersey with short sleeves, short legs and press-studs down the front and along one leg."
400456,"Long-sleeved bodysuits in soft, ribbed, organic cotton jersey with press-studs on one shoulder and at the crotch."
404864,Joggers in soft sweatshirt fabric made from organic cotton with an elasticated waist and ribbed hems. Soft brushed inside.
410291,"Padded footmuff with an elastic-trimmed hood, zips at the sides and a foldover opening at the cuffs. Fleece lining."
412043,Lined triangular scarves in soft cotton jersey with an adjustable press-stud fastening at the back of the neck.
416175,Trousers in soft organic cotton jersey with wide foldover ribbing at the waist and full feet.
418545,Wrapover bodysuits in soft organic cotton jersey with long sleeves and press-studs at the side and crotch.
423103,"Cardigan in soft, organic cotton jersey with a zip down the front, ribbed cuffs and a flounce at the hem."
425529,"Lightly padded sleep bag in soft velour with embroidery at the top, a press-stud on one shoulder and concealed zip in one side that opens from the bottom. Jersey lining. For indoor use only."
425683,Hats in a double layer of organic cotton jersey.
427114,All-in-one pyjamas in soft organic cotton jersey with press-studs down the front and along one leg.
427948,"All-in-one pyjamas in soft, patterned thermal fleece with press-studs down the front that continue down one leg."
453239,"5-pocket jeans in soft, washed stretch denim with an adjustable elasticated waist, fly with a press-stud and slim legs."
462128,"Long-sleeved all-in-one pyjamas in soft, printed organic cotton jersey with press-stud fastenings."
462435,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
465572,"Set with a top, shorts and hat. Top in soft cotton jersey with a print motif on the front, short butterfly sleeves and an opening with a button at the back of the neck. Puff shorts and sun hat in an airy, patterned cotton weave. Shorts with elastication at the waist and hems. Hat with ties under the chin. Lined."
466666,"Sleeveless bodysuits in soft cotton jersey with narrow shoulder straps, a lace trim at the top and concealed press-studs at the crotch."
472064,"Long-sleeved bodysuits in soft, ribbed organic cotton jersey with lapped shoulders and press-studs at the crotch."
473034,Short-sleeved wrapover bodysuits in soft organic cotton jersey with press-studs at the side and crotch.
475997,Baby Exclusive. Soft ballet pumps in striped cotton with pleated frills at the front and an elastic strap over the foot. Jersey linings and insoles and soft imitation suede soles.
476122,"Baby Exclusive. Shorts in soft viscose and lyocell twill with an adjustable elasticated waist and fly with a button. Front pockets, fake welt back pockets and sewn-in turn-ups at the hems."
481797,Pattern-knit trainer socks in a cotton blend.
483645,"Sleeveless dress in soft, patterned organic cotton jersey."
486768,Jacket in soft printed thermal fleece with a stand-up collar and concealed zip down the front. Unlined.
486769,"Padded gilet with a detachable, padded hood, stand-up collar and zip down the front. Rounded hem. Lined."
486774,"Padded jacket in wind- and water-repellent functional fabric with a detachable, fleece-lined hood with a faux fur trim. Ribbed collar, diagonal zip down the front, a front pocket with a hook and loop fastening, and long raglan sleeves with ribbed cuffs. Fleece lining. The jacket has a water-repellent coating without fluorocarbons."
487275,Short-sleeved T-shirt in soft organic cotton jersey with a chest pocket.
487937,"Lightly padded sleep bag in soft, patterned cotton jersey with press-studs at the front and a jersey lining. The sleep bag is designed for indoor use only."
493103,"Tights in a soft, fine-knit cotton blend with an elasticated waist."
493741,"Padded parka with a soft finish, a pile-lined, detachable hood with a faux fur trim, and wind flap with a hook and loop fastener and zip down the front. Fake top pockets, patch front pockets with a flap and fastener, and knitted ribbing at the cuffs. Slightly longer at the back with a single back vent. Lined."
494935,"Set with a bodysuit, trousers and hat in soft organic cotton jersey. Bodysuit with lapped shoulders, long sleeves and press-studs at the crotch. Trousers with foldover ribbing at the waist. Hat with sewn-on ears."
494938,"All-in-one suit in soft sweatshirt fabric made from an organic cotton blend. Jersey lined hood, ribbing at the cuffs and hems and a zip down the front that continues down one leg. Soft brushed inside."
497436,Puff shorts in a cotton weave with a front section and back pocket in broderie anglaise. Elasticated waist with a decorative bow and side pockets. Lined.
497448,"Leggings in soft, superstretch denim with an elasticated waist, fake front pockets and real back pockets."
499764,Soft jersey hats.
500815,"Hat in a soft cotton knit with appliqués at the top, earflaps and ties under the chin. Fleece lining."
500825,"Bootees in a soft knit with foldover ribbing at the top and embroidery and sewn-on ears at the front. Lined with jersey. Soft, knitted sole."
501054,"Dungaree dress in a stretch weave with adjustable straps with press-studs and a chest pocket. Seam at the waist with fake pockets and press-studs at the sides, fake fly and a back pocket. Unlined."
502085,"Trousers in a textured cotton weave with an elasticated drawstring waist, side pockets and a fake fly with buttons."
502255,"Dress in checked cotton flannel with a rounded collar and buttons down the front. Long sleeves with a tab and button, and a gathered seam at the waist with a flared skirt."
502261,"Hat in a soft knit containing some glitter. An appliqué on the front, pompom on the top, knitted scalloped edges and ties at the sides. Fleece lining."
502262,Mittens in a soft knit containing glittery threads with a print motif on the top and scalloped cuffs (Size 0-6 months with no thumb).
502306,"Dungarees in washed stretch denim with adjustable straps with press-studs and a chest pocket. Seam at the waist with press-studs at the sides, fake front pockets and real back pockets. Press-studs at the crotch and down the legs (size 1-2Y without press-studs), and elasticated hems."
502315,"5-pocket jeans in soft stretch denim with a patterned jersey lining, adjustable elasticated waist and zip fly with a press-stud."
502321,Hat in a soft knit with a pompom at the top and earflaps with ties. Fleece lining.
502322,Rib-knit polo-neck collar with a fine-knit hem.
504056,Set with a knitted hooded jacket and trousers in soft thermal fleece. Jacket with a pile-lined hood and ears at the top. Trousers with wide jersey ribbing at the waist.
504063,"Joggers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems."
