product_code,detail_desc
156289,"5-pocket slim-fit jeans in washed denim with an adjustable elasticated waist, zip fly with a press-stud and slim legs."
194902,T-shirts in soft organic cotton jersey.
200761,"Vest tops in soft, ribbed organic cotton jersey."
234622,"Long-sleeved, polo-neck tops in organic cotton jersey."
257430,Vest tops in soft cotton jersey with narrow shoulder straps and picot trims.
261526,Fine-knit trainer socks with decorative elastication at the top.
265069,Polo shirt in organic cotton jersey with a ribbed collar and button placket.
268450,Tops in soft organic cotton jersey.
287645,Thin tights with an elasticated waist.
291333,"Tights in a soft, fine-knit cotton blend with an elasticated waist."
291338,Pointelle-knit tights in a soft cotton blend with an elasticated waist.
293433,"Tights in a soft, fine knit with an elasticated waist."
305775,Tights in a fine knit containing glittery threads with an elasticated waist. Soft inside.
307847,Rib-knit tights in a soft cotton blend with an elasticated waist.
311059,"Top in soft sweatshirt fabric made from an organic cotton blend with long sleeves and ribbing around the neckline, cuffs and hem."
326885,"Joggers in lightweight jersey made from a cotton blend with a ribbed, elasticated waistband, pockets in the side seams and ribbed hems. The cotton content of the joggers is organic."
327144,Fine-knit tights in a soft cotton blend with an elasticated waist.
327821,Leggings in soft organic cotton jersey with an elasticated waist.
331474,"Joggers in sweatshirt fabric with elasticated ribbing at the waist, pockets in the side seams and ribbed hems."
341909,Vest tops in soft cotton jersey with a scalloped trim around the neckline and armholes and a small satin bow at the front.
343973,Microfibre leggings with an elasticated waist and lace trims at the hems.
357130,Tops in organic cotton jersey with elastication and gathers at the neck and short puff sleeves.
368603,Pyjamas in patterned cotton jersey. Long-sleeved top with ribbed cuffs. Bottoms with an elasticated waist and ribbed hems.
379360,"3/4-length leggings in soft, organic cotton jersey with an elasticated waist."
393321,Fine-knit tights in a soft cotton blend with an elasticated waist.
395658,Joggers in sweatshirt fabric with an elasticated drawstring waist and ribbed hems.
395730,"Long-sleeved, polo-neck tops in organic cotton jersey."
395864,Boxer briefs in cotton jersey with a lined gusset.
402065,Long-sleeved top in organic cotton jersey with a ribbed neckline and a chest pocket.
405887,Top in printed cotton jersey with long sleeves and ribbing at the cuffs and hem. Slightly longer at the back.
413911,"Long-sleeved top in sweatshirt fabric made from a cotton blend with ribbing around the neckline, cuffs and hem. Soft brushed inside. The cotton content of the sweatshirt is organic."
414066,"Jumpsuit in organic cotton sweatshirt fabric with a jersey-lined hood and contrasting colour details. Zip down the front, front pockets and ribbing at the cuffs and hems. Soft brushed inside."
423900,Jacquard-knit socks in various colours and designs.
432984,Thin tights with a glittery pattern and an elasticated waist.
433275,"All-in-one pyjamas in soft, printed cotton jersey with press-studs down the front and ribbing at the cuffs and hems."
433796,Long-sleeved tops in jersey made from organic cotton.
447201,Fine-knit trainer socks with an embroidered motif and elasticated tops.
453134,"Pyjamas in soft, printed cotton jersey. Short-sleeved top that is slightly longer at the back. 3/4-length leggings with an elasticated waist and scalloped hems."
453745,"Dress in soft jersey made from a cotton blend with long sleeves, a seam at the waist and flared skirt."
454128,Pyjamas in printed cotton jersey. Long-sleeved top. Bottoms with an elasticated waist.
454804,"Joggers in washed denim with an elasticated drawstring waist, back pocket and tapered legs."
455014,Jacquard-knit socks in a soft cotton blend.
457765,"Rib-knit, shaftless socks in a soft cotton blend."
464695,"Cotton jersey vest tops with narrow shoulder straps, a small scalloped trim at the top and decorative bow at the front."
465619,Henley top in jersey with a button placket and long sleeves with a tab and button.
466948,Long-sleeved top in organic cotton jersey with a ribbed neckline in a contrasting colour and a gently rounded hem.
468591,Pyjama T-shirt and shorts in soft cotton jersey. T-shirt with contrasting colour ribbing around the neckline and sleeves. Shorts with an elasticated waist.
470766,"Dress in soft, patterned viscose jersey with frilled shoulder straps and an asymmetric hem."
477515,Jacquard-knit socks in a soft cotton blend with terry inside.
478566,Leggings in jersey made from an organic cotton blend with an elasticated waist.
478675,"Dress in patterned organic cotton jersey with short, frilled sleeves, a seam at the waist and gathered skirt."
478818,"Trousers in soft washed cotton twill with an adjustable elasticated waist, fake fly with a button, zipped side pockets, welt back pockets and slim, shaped legs with stitching on the knees and elasticated hems."
480574,"Treggings in sturdy jersey with an elasticated waist, fake fly, fake front pockets and real back pockets."
480576,Jersey leggings with an elasticated waist.
480579,"Fine-knit cardigan in soft cotton with a round neck, buttons down the front and slits in the sides. Slightly longer at the back."
480581,"Long-sleeved jumper in a soft, fine cotton knit with a motif on the front, slits in the sides and ribbing at the neckline, cuffs and hem. Slightly longer at the back."
480582,"Fine-knit jumper in soft cotton with a motif and ribbing around the neckline, cuffs and hem."
480627,Leggings in sturdy jersey made from an organic cotton blend with an elasticated waist and a glitter print.
481145,T-shirt in soft cotton jersey with a print motif on the front.
483737,Skirt in soft velour with an elasticated waist and flare to the hem.
484126,Pyjamas in printed cotton jersey. Top with short puff sleeves and shorts with an elasticated waist.
484760,"Treggings in stretch cotton twill with an adjustable elasticated waist. Fake fly with a decorative button, and front and back pockets."
484766,"Fully lined pull-on trousers in soft cotton twill with elastication and a decorative bow at the waist. Loose fit with front pockets, one back pocket and elasticated hems."
484767,"Treggings in stretch corduroy with an adjustable elasticated waist, fake front pockets and real back pockets."
485098,Playsuit in a soft patterned viscose weave with a small stand-up collar and fasteners at the top. Side pockets and an elasticated seam at the waist with a decorative bow and tassels. Short sleeves and short legs.
485115,"Dress in a cotton weave with a collar, button placket, chest pocket with a button and side pockets. Long sleeves with buttoned cuffs and a tab and button. Braided belt and a rounded hem. Slightly longer at the back."
485537,Pyjamas in soft ribbed cotton jersey with contrasting colour ribbing. Long-sleeved top. Bottoms with an elasticated waist.
485539,"Boxer shorts in cotton jersey with short legs, an elasticated waist and lined front. The cotton content of the boxer shorts is organic."
485542,Boys’ briefs in soft cotton jersey with an elasticated waist and lined front.
485544,Pyjamas in printed cotton jersey. T-shirt top with a round neckline. Shorts with an elasticated waist.
485546,Vest tops in cotton jersey. One with an all-over print an one in a solid colour.
485548,Pyjamas in soft cotton jersey. Long-sleeved top with ribbed cuffs. Bottoms with an elasticated waist and ribbed hems.
485549,Longjohns in soft cotton jersey with an elasticated waist and ribbed hems.
485551,All-in-one pyjamas in soft cotton jersey with a contrasting colour press-stud placket and ribbing.
485552,"Pyjamas in soft velour. Long-sleeved top with an appliqué on the front and ribbing around the neckline, cuffs and hem. Bottoms with an elasticated waist and ribbed hems."
485553,Dressing gown in soft fleece with a hood and detachable tie belt at the waist.
485554,"Pyjamas with a jersey top and flannel bottoms. Top with a motif on the front and long sleeves with ribbed cuffs. Bottoms with an elasticated drawstring waist, side pockets and ribbed hems."
487050,Jacquard-knit socks in a soft cotton blend with elasticated tops.
487051,Fine-knit ankle socks in a cotton blend with wide elastication at the top.
487052,Fine-knit ankle socks in a cotton blend with wide elastication at the top.
487053,Fine-knit trainer socks in a cotton blend.
487054,"Socks in a soft, jacquard-knit cotton blend."
487205,Fine-knit socks in a soft cotton blend with anti-slip protectors.
487206,Fine-knit tights in a soft cotton blend with an elasticated waist.
487207,Fine-knit sports socks in a soft cotton blend.
490048,"Lightly padded satin bomber jacket with quilted sleeves, a small, ribbed stand-up collar and zip down the front. Jetted front pockets and ribbing at the cuffs and hem. Lined."
491680,Short-sleeved top in cotton jersey with a print motif.
492678,Soft fleece jacket designed to be worn as a thermal mid layer with a stand-up collar and zip down the front. Unlined.
492683,"Padded gilet with a detachable, faux fur-trimmed hood. Stand-up collar, zip down the front and side pockets. Slightly longer and rounded at the back."
492943,"Padded gilet with a detachable, lined hood, zip down the front and side pockets. Lined."
493810,"Joggers in lightweight sweatshirt fabric with an elasticated drawstring waist, low crotch, side pockets and ribbed hems. Soft brushed inside."
493814,"Hooded jacket in sweatshirt fabric with a zip down the front, front pockets and ribbing at the cuffs and hem."
493836,Long-sleeved tops in organic cotton jersey.
494344,"Padded parka in woven fabric with a soft, brushed finish. Detachable, pile-lined hood with a faux fur trim, zip down the front and a drawstring at the waist. Flap side pockets with a press-stud, inner ribbing at the cuffs and a single back vent. Partly lined in pile."
494360,Cotton corduroy jacket with a pile collar and press-studs down the front and at the cuffs. Patch pockets with a flap and press-stud. Pile lining.
494608,Sleeveless dresses in patterned organic cotton jersey with a gathered seam at the waist and flared skirt.
497154,"Rain trousers in wind- and waterproof functional fabric with closed seams, elasticated hems and reinforced elastic foot straps. Press-studs at the sides and adjustable elastic braces with plastic fasteners. Reflective details. Unlined. The trousers have a water-repellent coating without fluorocarbons."
497189,"Lightly padded parka in a sturdy weave with a detachable, pile-lined hood with imitation-leather details. Stand-up collar and a zip down the front with a wind flap and press-studs. Chest pocket, two flap front pockets with press-studs, and inner ribbing at the cuffs. Quilted lining."
497193,"Padded parka with a lined, faux-fur trimmed hood and a zip with a wind flap and press-studs down the front. Handwarmer pockets, flap front pockets and a small zipped pocket on each sleeve. Inner ribbing at the cuffs. Quilted lining."
