product_code,detail_desc
344625,Sun hat in woven fabric. Lined. Width of brim 6.5 cm.
344627,Sun hat in a cotton weave. Width of brim 5 cm. Lined.
449175,Fully lined bikini with a lace pattern. Top with narrow shoulder straps and three layers of frills. Bottoms with a frill trim at the waist.
449192,Fully lined printed swimsuit.
449648,"Fully lined, patterned swimsuit with narrow shoulder straps that cross at the back."
453272,"Printed swimming trunks with an elasticated, drawstring waist and lined front."
453309,Swim shorts with an elasticated drawstring waist. Soft mesh inner shorts.
453445,Patterned swim shorts with an elasticated drawstring waist. Soft mesh inner shorts.
453453,"Swim shorts with an elasticated, drawstring waist and fake fly. Soft mesh inner shorts."
455504,"Jersey dance dress with narrow shoulder straps that cross at the back, a seam at the waist with glittery elastication and a glittery double-layered tulle skirt. Lined gusset."
456834,"Cotton canvas trainers with elasticated lacing at the front, a loop at the back, canvas linings and insoles and fluted rubber soles."
457322,Long-sleeved top in UV-protective fabric with a print motif on the front and small turtle neck. Slightly longer at the back. UPF 50.
457755,"T-shirt in UV-protective fabric with a turtle neck, print motif on the front and short sleeves. Slightly longer at the back. UPF 50."
458083,Belt in regenerated leather with a metal buckle. Width approx. 3 cm.
495153,"Fully lined swimsuit with a text print on the front, racer back and cut-out section at the back."
495163,Bikini in jersey and lace. Top with narrow shoulder straps and decorative dolphin-shaped pendant. Fully-lined bottoms.
496441,Double-layer hat in patterned jersey.
496463,Poncho in a soft rib knit containing glittery threads with ribbing around the neckline and a fringed hem.
496629,"Hat in a soft, fine knit with a faux fur pompom at the top and embroidery on the turned-up hem."
496630,"Hat in a soft, textured knit with a small imitation leather appliqué at the front and a ribbed hem."
496632,Fine-knit hat in soft cotton with sequined embroidery and a ribbed hem.
496989,Cable-knit polo-neck collar in a soft cotton blend containing some wool. Fleece lining front and back.
496992,"Hat in a soft, cable-knit cotton blend containing some wool with an imitation leather appliqué, faux fur pompom on the top and earflaps with ties. Fleece lining."
497224,Printed swim shorts with an elasticated waist with ties. Mesh inner shorts.
497225,"Swim shorts with an elasticated, drawstring waist and fake fly. Soft mesh inner shorts."
497284,Patterned swim shorts with elastication and ties at the waist and a fly with a hook and loop fastening. Soft mesh inner shorts.
497664,"Knee-length, printed swim shorts with elastication and ties at the waist and a fly with a hook and loop fastening. Soft mesh inner shorts."
497817,"Fully lined bikini. Top with a frill and narrow shoulder straps, one with a sewn-on metal decoration. Fully lined bottoms."
497895,"Hi-tops in imitation leather and mesh with a padded shaft, adjustable hook and loop tab, elasticated lacing at the front and a loop at the back. Pile linings and insoles and rubber soles."
497915,Imitation leather hi-tops with lacing at the front and a zip in one side. Pile linings and insoles and rubber soles.
499393,Jersey cap with embroidery on the front and glittery details. Adjustable plastic fastener at the back.
499396,Printed gym bag that can be worn as a backpack with a drawstring closure at the top and narrow contrasting colour shoulder straps. Size 35x45 cm.
499553,"Hi-tops in imitation leather and mesh with a padded shaft, adjustable hook and loop tab, elasticated lacing and a loop at the back. Pile linings and insoles and rubber soles."
499578,"Hat in a soft, textured knit with a small imitation leather appliqué at the front and a ribbed hem."
499582,"Fine-knit gloves with the tops of the thumb, index finger and middle finger in touchscreen-compatible material."
499588,Hat in a soft rib knit with an appliqué on the turned-up edge.
499589,Mittens in a fine-knit wool blend decorated with faceted beads. Fold-down front flap with a button to turn them into fingerless gloves.
499594,"Ankle boots in waterproof functional fabric with imitation leather details, a padded edge, elastic laces and a hook and loop fastening at the front. Lightly padded tongue that can easily be pulled forward to make it easier to put the boots on. Reflective details, fleece linings and insoles and chunky rubber soles."
499598,"Ankle boots in waterproof functional fabric with imitation leather details, a padded edge, elastic laces and adjustable hook and loop fastening at the front. Lightly padded tongue that can easily be pulled forward to make it easier to put the boots on. Reflective details, mesh linings and insoles and chunky rubber soles."
499958,Hat in a rib knit containing glittery threads with a large faux fur pompom on the top.
499959,"Tube scarf in soft faux fur. Width 25 cm, circumference 70 cm."
500096,"Hat in a soft cable knit with a faux fur pompom at the top, and ribbed, turned-up hem."
500153,Dance shoes with elastic straps over the foot. Cotton linings and insoles and soft suede soles.
500369,"Leotard in glossy jersey with double, crossed straps at the back, long sleeves and a lined gusset."
500371,Dance dress in glossy jersey with crossover straps at the back and 3/4-length sleeves. Glittery elasticated seam at the waist and a layered tulle skirt. Lined gusset.
500372,Satin dance shoes with elastication around the openings and crossover elastic straps at the top. Fabric linings and insoles and suede soles.
500373,Leggings in microfibre with an elasticated waist.
500846,"Ballet pumps with appliqués on the front, elastic straps over the foot and a grosgrain trim at the top. Imitation leather linings and insoles and rubber soles."
500864,Soft slippers in a shimmering metallic weave with an appliqué on the front in the shape of a reindeer head. Velour linings and insoles and anti-slip protectors on the soles.
502880,"All-in-one suit in patterned fleece with a hood, zip down the front and contrasting colour ribbing at the cuffs and hems. Detachable tail."
502889,"Fancy dress costume in jersey with a matching mask. Costume with a print on the front, long sleeves, long legs and a hook and loop fastening at the back. Mask with holes for the eyes and mouth and a print on the front."
502941,"Trainers with details in shimmering metallic imitation leather with a lightly padded top edge, lacing at the front and a loop at the back. Mesh linings and insoles and rubber soles."
505573,Moisturising lip balm in a box shaped like a unicorn. 3 g. Not for children under 3 years of age.
506200,Hats in soft double-layered jersey.
507274,Hat in a soft rib knit containing glittery threads with decorative pompoms on the front.
508835,Moisturising lip balm in a plastic owl-shaped container. 3.7 g.
509618,Hat in a soft knit with a pompom at the top and earflaps. Fleece lining.
510504,Ballet pumps in imitation leather with a glittery finish. Strap with heart-shaped studs over the foot and an adjustable hook and loop fastener at the side. Imitation leather linings and insoles and rubber soles. Heel 1.3 cm.
515305,"Hat in a double layer of marled, cotton-blend jersey."
515306,Double-layered hat in printed jersey.
515314,"Gloves in a soft, fine knit with a glow-in-the-dark print on the uppers and ribbed cuffs."
515319,Fine-knit hats in a cotton blend with roll edges.
515321,"Windproof gloves in thermal fleece with reinforced palms, a hook and loop tab at the wrists, a strap at the top and reflective details."
515323,"Mittens in a soft, fine knit with ribbed cuffs. Fleece lining."
515327,Twisted tube scarf in a soft knit.
515328,Fleece gloves with soft ribbing at the cuffs.
515331,"Padded ski mittens in windproof, water-repellent functional fabric with reinforced palms, ribbed cuffs and a reflective detail on the uppers. Thinsulate™ lining."
515346,"Windproof gloves in thermal fleece with reinforced palms, a hook and loop tab on the front and loop at the top. Reflective details."
515357,"Padded ski mittens in star-print windproof, water-repellent functional fabric with reinforced palms for a firmer grip. Imitation suede section at the thumbs, and ribbing and an adjustable hook and loop fastening at the top. Thinsulate™ lining."
516461,"Hat in a soft, fine knit with a turn-up with an eye mask that can be folded down."
516734,Double-layered hat in jersey with a print motif on the front.
516786,"Hat in a double layer of marled, cotton-blend jersey."
519024,Fancy dress costume in jersey with a zip down the front and a hood with an eye mask at the front.
519192,"Jersey fancy dress costume with an accessory, a print motif on the front and a hook and loop fastening at the back."
519219,Fancy dress cape in jersey with a concealed hook and loop fastening at the neck. Unlined.
519220,"Fancy dress costume in jersey consisting of a cape, sleeveless top and plastic vampire teeth. The cape has a high collar and hook and loop fastening at the front. The top has a turtle neck and a print motif on the front."
519222,Fancy dress gloves in jersey with a glow-in-the-dark print.
519243,"Santa hat with a faux fur pompom on top and wide, covered elastication around the hem."
519524,"Fully lined, patterned bikini with frills. Top with an adjustable tie at the back of the neck and a plastic fastener at the back."
520363,"Velvet choker with a metal pendant. Adjustable length, 29-33 cm."
520390,Set of three different shades of peel-off nail polish. 3x6 ml. Easy to remove - no nail polish remover required.
520912,Rib-knit hat in soft wool with a turned-up hem.
521068,"Hat with earflaps, an appliqué on the side and a hook and loop strap under the chin. Lined with faux fur and fleece."
521102,Hat in a soft jacquard knit with a pompom on the top.
521393,Snap-on soft toy bracelet in soft faux fur. Soft toy head with embroidered details at one end. Size 3.5x20 cm.
521426,"Double-layered hat in a soft, fine knit with an appliqué on the turned-up hem."
521442,Hat in soft thermal fleece.
521457,"Gloves in a soft, fine knit with a glow-in-the-dark print on the uppers and ribbed cuffs."
521462,"Hat in soft, rib-knit wool with a turned-up hem."
521463,"Scarf in soft, rib-knit wool. Size 15x126 cm."
522034,"Imitation leather hi-tops with elasticated lacing at the front, a hook and loop tab at the top and lightly padded tongue and top edge. Mesh linings and insoles and rubber soles."
522453,Velour slippers with appliqués and soft souls with anti-slip protectors. Polyester lining.
522639,"Hi-tops in imitation leather with elasticated lacing at the front, an adjustable hook and loop tab at the top and a loop at the back. Pile linings and insoles and rubber soles."
523120,"Padded ski gloves in windproof, water-repellent functional fabric with reinforced palms and ribbed cuffs. One glove has a small zipped pocket on the upper. Reflective details. Thinsulate™ lining."
523569,Set with a hat and mittens in a textured knit containing glittery threads. Hat with a decorative pompom at the top and a ribbed hems. Mittens with ribbed cuffs. Cotton jersey lining.
523570,Fleece gloves with ribbing at the cuffs. Unlined.
525905,"Double-layered hat in a soft, fine knit with an appliqué on the turned-up hem."
526076,Christmas tree dress in stretch jersey with tiered organza flounces and sewn-in pompoms. Opening at the back with a hook and loop fastening.
526129,Trainers with elasticated lacing at the front and a loop at the back. Cotton canvas linings and insoles and rubber soles.
526134,"Imitation leather trainers with elasticated laces at the front, a hook and loop tab and lightly padded tongue and top edge. Mesh linings and insoles and rubber soles."
526158,"Hi-tops with a lightly padded edge, elasticated lacing and a loop at the back. Mesh linings and insoles and rubber soles."
528039,"Small shoulder bag in imitation leather with a decorative satin knot bow, zip at the top and a narrow shoulder strap with a press-stud at one end. Lined. Size approx. 4x13x16 cm."
530028,"Derby shoes in imitation leather with lacing at the front and a welt seam around the soles. Fabric linings, imitation leather insoles and rubber soles. Heel 2 cm."
533260,Hat in a soft rib knit with an appliqué on the turned-up hem.
533274,"Double-layered hat in a soft, fine knit with an embroidered pattern."
533376,"Double-layered hat in a soft, fine knit with an intarsia motif, padded antlers on top and a nose at the front."
533835,"Ankle boots in imitation suede with a zip in the side, loop at the back and gold-coloured trim around the soles. Woven linings and insoles and rubber soles. Heel 2 cm."
533872,"Double-layered hat in a soft, fine knit with a pompom on the top."
534908,Metal hair clips with a padded appliqué.
535264,Fine-knit gloves with matching fingerless gloves with a glow-in-the-dark print. The gloves can be worn over each other or separately.
535278,"Block-coloured hat in soft, rib-knit cotton with an appliqué on the turned-up edge."
535491,Erasers in various colours and designs. Size approx. 3 cm. Not for children under 3.
535664,"Hi-tops in imitation leather with decorative metal studs, a padded tongue, lacing at the front with a metal charm and a loop at the back. Pile linings and insoles and rubber soles."
535905,"Derby shoes in imitation leather with lacing at the front and a welt seam around the soles. Fabric linings, imitation leather insoles and rubber soles. Heel 2.5 cm."
537670,"Set containing face paints in white, black and red. The set also contains a brush, sponge, and double-sided applicator. 3x8.2 g. Not for children under 3, as the set contains small parts."
537672,Temporary tattoos in different sizes.
537893,Mittens in a soft knit with a front flap that can be fastened back with a button to reveal a pair of fingerless gloves.
538161,"Jacquard-knit hat containing glittery threads with a pompom on the top, ear-flaps and braided ties. Fleece lining."
538578,Santa costume in soft fleece. Jacket with a concealed hook and loop fastening at the front. Trousers with an elasticated waist and elasticated hems.
538790,"Double-layered hat in a soft, fine knit with a wide turned-up hem with a small appliqué on the front."
538826,"Double-layered hat in a soft, fine knit with an embroidered motif on the turned-up hem."
538931,Alice bands decorated with a large grosgrain bow.
540998,"Fancy dress costume with a zip down the front, hood with appliqués and ribbing at the cuffs and hems."
542207,Hi-top trainers in printed canvas with lacing at the front and a loop at the back. Mesh linings and insoles and rubber soles.
542209,"Mesh trainers with imitation leather details, a lightly padded edge and tongue, lacing at the front and a loop at the back. Mesh linings and insoles and rubber soles."
542211,"Mesh trainers with imitation leather details, glittery sections, lacing at the front and a loop at the back. Mesh linings and insoles and rubber soles."
544513,"Cap in cotton twill with an embroidered motif on the front, a glittery peak and an adjustable plastic fastener at the back."
544515,Fabric cap with a motif. Adjustable plastic fastener at the back.
546070,Hat in a soft knit with decorative pompoms.
546456,Small cylindrical bag in woven fabric with a zip at the top and an adjustable shoulder strap with a text print. Lined. Size 11x16.5 cm.
546733,Moisturising strawberry and vanilla lip balms. 2x3.7 g.
546773,Hat in braided straw containing glittery threads. Width of brim 8.5 cm.
546776,Hat in braided paper straw hat with a band and pompom trim around the brim. Width of brim 3 cm.
546777,Sun hat in a patterned cotton weave. Lined. Width of brim 5.5 cm.
546778,Double-layer hat in patterned jersey.
546782,Sun hat in a patterned cotton weave. Lined. Width of brim 6.5 cm.
546787,"Double-layered hat in a soft, fine knit containing glittery threads with an embroidered motif on the turned-up hem."
546788,Cap in cotton twill with an appliqué on the front and ties at the back.
546798,Cap with a motif on the front and an adjustable plastic fastener at the back.
546799,Twill cap with an appliqué on the front and an adjustable plastic fastener at the back.
546800,Hat in braided paper straw with decorations and a twisted band. Width of brim 4 cm.
546801,Hat in braided paper straw hat with a band and pompom trim around the brim. Width of brim approx. 3.5 cm.
546805,"Gloves in a soft, fine knit with ribbed cuffs."
546807,Hat in a soft rib knit with a faux fur pompom on the top and sewn-in turn-up with an appliqué.
