product_code,detail_desc
108775,Jersey top with narrow shoulder straps.
116379,Fitted top in soft stretch jersey with a wide neckline and long sleeves.
120129,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
129085,3/4-length leggings in stretch jersey with an elasticated waist.
179123,Jersey leggings with an elasticated waist.
186372,Harem trousers in jersey with elastication at the waist and hems.
189955,"Top in soft slub jersey with a fake front pocket, short sleeves with sewn-in turn-ups, and a rounded hem."
198714,"3/4-length leggings in soft, organic cotton jersey with an elasticated waist."
202017,Short-sleeved dress in slub jersey with an elasticated waist and side pockets.
215248,Fitted top in soft stretch jersey with a V-neck and short sleeves.
218354,Cropped vest top in slub jersey.
220094,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.
237222,"Fitted Henley top in soft cotton jersey with a low-cut neckline, button placket and long sleeves."
237347,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem."
244267,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
249136,"Ankle-length jeans in washed stretch denim with fake front pockets, real back pockets and tapered legs. Wide jersey ribbing at the waist for best fit."
254940,5-pocket trousers in superstretch twill with slim legs and a high waist.
257667,Short-sleeved V-neck top in softly draping airy jersey with a slight sheen.
262277,"Trousers in washed, superstretch twill with fake front pockets, real back pockets and skinny legs. Low ribbed section at the waist."
264984,Fitted top in jersey with a wide neckline and short sleeves.
269342,Short-sleeved top in soft jersey with a unique nursing feature. The design includes a double layer to help retain warmth while allowing easier nursing access.
294008,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
294076,"Shaping. Jeans in washed denim with technical stretch that holds in and shapes the hips, thighs and seat while keeping the jeans in shape. Fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for optimum comfort."
297796,5-pocket shorts in washed stretch twill with a regular waist and sewn-in turn-ups at the hems.
297898,"5-pocket jeans in dyed, superstretch denim with a high waist and skinny legs."
299668,"Treggings in superstretch twill with an elasticated waist, fake pockets at the front and real pockets at the back."
299733,Strapless jersey dress with an elasticated waist. Inner top with elastication at the top.
300024,"Jeans in washed stretch denim with fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for optimum comfort."
316441,Long-sleeved top in soft jersey.
316471,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem. Soft brushed inside.
336881,"Leather trousers with a regular waist, front pockets, back pockets and slim legs with seams at the knees."
344534,Fitted top in soft jersey with long sleeves and concealed elastication in the sides for optimum fit over the tummy.
348442,Short-sleeved top in patterned jersey with a boat neck.
350082,"Suit trousers in a stretch weave with a regular waist with a concealed hook-and-eye fastener, side pockets, a welt back pocket and tapered legs with creases."
352811,5-pocket trousers in stretch twill with a regular waist and slim legs.
355307,Fitted vest top in soft stretch jersey.
356174,"Treggings in superstretch twill with an elasticated waist, fake pockets at the front and real pockets at the back."
358254,"Short shorts in a patterned viscose weave with pleats at the top, elastication at the back of the waistband, side pockets and wide legs."
361401,Top in patterned jersey with a boat neck and 3/4-length sleeves.
361467,Top in soft jersey with short raglan sleeves with sewn-in turn-ups.
368979,Leggings in soft jersey made from a cotton blend with an elasticated waist.
372008,Gently flared vest top in jersey with a sheen. Narrow shoulder straps that cross at the back. Lined at the top.
383569,"Sleeveless, knee-length dress in pleated jersey with a V-neck and crossover, decorative straps at the back. Narrow elasticated seam at the waist and gently flared skirt. Unlined."
393750,"Loose-fitting jumper in a soft knit containing some wool with a polo neck, long, wide raglan sleeves and ribbing at the cuffs and hem."
393993,"Padded jacket in a slightly longer style with a stand-up collar and faux fur-trimmed hood. Zip down the front, a concealed drawstring at the waist, and zipped side pockets. Lined."
396135,"Short shorts in sweatshirt fabric with an elasticated, drawstring jersey waistband, side pockets and rounded hems."
398074,Top in soft organic cotton jersey with 3/4-length sleeves and gathers in the side seams for best fit.
398559,"Jersey top with a motif on the front, short sleeves and gathers in the sides for optimum fit."
399061,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets."
399256,"Ankle-length jeans in washed stretch denim with a regular waist, fake front pockets, real back pockets and skinny legs."
407040,V-neck top in soft viscose jersey with long sleeves and a gently rounded hem.
407147,Long-sleeved top in patterned viscose jersey with a gently rounded hem.
414079,"Short shorts in soft, patterned jersey with an elasticated waist and side pockets."
423112,"Short, flared skirt in a sturdy weave with a concealed zip at the back. Unlined."
424022,Fitted slub jersey top made from organic cotton with a V-neck and long sleeves.
430694,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds and shapes the tummy, thighs and seat, while keeping the jeans in shape. The jeans have a regular waist and skinny legs."
433414,Short-sleeved nursing tops in organic cotton jersey with a wrapover front and practical inner top for easier nursing access.
433444,Fitted tops in soft jersey with short sleeves and gathers in the sides for best fit over the tummy. The cotton content of the tops is organic.
434429,5-pocket trousers in washed superstretch twill with a regular waist and slim legs.
439285,Treggings in stretch twill with fake front pockets and real back pockets.Wide ribbing at the waist for optimum comfort.
439793,T-shirt in soft viscose jersey with a deep neckline at the front and a chest pocket.
442633,Long-sleeved nursing top in soft jersey sewn in a double layer with openings in the lower layer for easier nursing access.
442786,"Shorts in washed stretch denim with a fake fly, fake front pockets, back pockets and slim legs with sewn-in turn-ups at the hems. Wide ribbing at the waist for optimum comfort."
442915,"Joggers in lightweight sweatshirt fabric with a wide panel at the top, side pockets and fold-down cuffs at the hems."
442992,Sleeveless dress in a crêpe weave with decorative gathers at the top. Elasticated seam under the bust and an opening with a hook-and-eye fastener at the back of the neck. Lined.
445358,Long-sleeved tunic in jersey crêpe with a rounded hem.
445419,"Top in soft, airy modal jersey with a low-cut back and short sleeves."
450932,"Joggers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and elasticated hems. Soft brushed inside."
452717,"Long-sleeved jumper in a soft, fine knit with decorative buttons on one shoulder and wide ribbing at the cuffs and hem. Gathers in the side seams for best fit."
453016,"Shorts in sturdy, textured jersey with an elasticated waist and wrapover sides."
453026,"T-shirt in soft, printed cotton jersey."
453491,Short skirt in a stretch weave with a concealed zip and slit. Lined.
455491,"Short 5-pocket shorts in stretch twill with a regular waist, zip fly, button at the waist and sewn-in turn-ups at the hems."
455828,"Pencil skirt in imitation leather with a slit at the front, concealed zip at the back and raw-edge hem. Unlined."
456007,"Playsuit in soft twill made from Tencel™ lyocell with a collar, buttons down the front, flap chest pockets with a button and side pockets. Short cap sleeves and a detachable tie belt at the waist. Short legs with sewn-in turn-ups at the hems."
456011,"5-pocket shorts in stretch denim with a zip fly and button, and raw-edge, frayed hems."
456163,"Wide top in sweatshirt fabric with a lined drawstring hood, kangaroo pocket and ribbing at the cuffs and hem."
457039,Fitted top in soft jersey with a lace yoke with frills and short cap sleeves.
