product_code,detail_desc
126589,Plastic hair claws. Width 3.5 cm.
130035,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.
146721,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
176754,Two-strand hairband with braids in imitation suede and elastic at the back.
179950,Leather belt with a metal buckle. Width 2.5 cm.
183815,"Wide, elastic waist belt with imitation leather details and a metal fastener. Width 6.5 cm."
186262,Plastic hair claws. Width 2.5 cm.
186264,Hair elastics without metal clips.
186266,Hair elastics with metal clips.
186267,Mini plastic hair claws.
214844,Metal hair grips. Length 5 cm.
215303,"Sunglasses with plastic frames and UV-protective, tinted lenses."
215324,Aviator style sunglasses with metal frames and tinted lenses. UV-protective.
216961,Hair elastics in various colours with metal clips. Width 0.6 cm.
218829,"Gloves in soft, supple leather. Lined."
220365,"Sunglasses with plastic frames, metal sidepieces and tinted, UV-protective lenses."
224314,Cable-knit hat with a faux fur pompom.
224337,Fine-knit gloves in a wool blend with imitation leather trims.
224606,Narrow belt in grained imitation leather with a metal buckle. Width 2 cm.
226011,Hair clips in metal with fabric flowers. Length 4.5 cm.
235596,Earrings in various sizes.
241436,"Soft handbag in imitation leather with two handles, a zip and a detachable shoulder strap at the top, and three inner compartments, one with a zip. Lined. Size 27x31 cm."
268305,Sunglasses with plastic frames and tinted lenses. UV-protective.
270375,"Sunglasses with plastic frames and UV-protective, tinted lenses."
270381,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses."
270382,"Sunglasses with plastic frames, metal detailing and tinted, UV-protective lenses."
292453,Earrings with plastic beads and tassels. Length 8.5 cm.
296366,Hairband with leaf and flower appliqués.
296375,Metal hair clips with fabric flowers.
301517,Wide hairband in patterned jersey with a twisted detail.
312829,"Tube scarf in a soft knit. Width 60 cm, circumference 180 cm."
318035,"Umbrella in transparent, printed plastic with a plastic handle. Length 77 cm."
322017,Small umbrella with a telescopic handle and a fabric wrist strap. Size 7x15.5 cm folded.
324502,Headband in a soft knit containing some wool with a draped detail at the front. Width 10 cm.
324963,Glasses case in imitation leather with an imitation suede lining. Flap with a reinforced front and press-stud fastening. Size 6x16 cm.
332055,"Plastic mug with a silicone lid. Diameter 8.5 cm, height including lid 13.5 cm."
333353,"Jacquard-knit dog jumper in a cotton blend with a festive pattern, ribbed collar and sleeves at the front. Length at the hem 25 cm, collar circumference 24 cm."
335991,Metal Alice band with glittery decorations in the shape of reindeer antlers.
340223,Hair decoration with plastic berries and fabric leaves attached to satin-covered metal wire.
342034,"Scarf in a soft, loose weave with fringes on the short sides. Size 100x200 cm."
342840,"Advent calendar in paper with gold-coloured print motifs, a satin ribbon for hanging and 24 windows containing accessories in different sizes and designs made from metal, plastic and glass."
344956,Plastic water bottle with a screw top and practical wrist strap that also holds the top in place. Capacity 550 ml.
349301,Espadrilles in cotton with a braided jute trim around the soles and concealed elastic at the back of the heels. Fabric linings and insoles and patterned soles.
354041,"Alice band in metal with a ""PARTY TIME 2017"" text at the top."
355062,Fancy dress mask in moulded plastic with sequins and a glittery finish. Satin ribbon ties at the back.
356438,Hard smartphone case in printed transparent plastic. Fits iPhone 6/6s.
356693,Cap in imitation suede with no fastener. Lined.
357751,Metal earrings in various sizes. Diameter from 2.3 cm to 7.6 cm.
357792,"Sunglasses with plastic frames, metal side pieces and UV-protective, tinted lenses."
358753,"Thin metal chain necklace with a round metal pendant. Adjustable length, 40-46 cm."
368038,Plastic hair claw. Width 4.5 cm.
369796,"Sunglasses with metal frames and UV-protective, tinted lenses."
370594,"Sunglasses with transparent plastic frames and UV-protective, tinted lenses."
376172,"Round sunglasses with plastic frames and UV-protective, tinted lenses."
377436,Smartphone case in transparent plastic with pressed flowers. Fits iPhone 6-8.
378719,Ear decorations in metal embellished with faceted plastic beads and sparkly stones with an ear cuff at the top and pin at the bottom. Length 3 cm.
386463,"Flat, round earrings in various designs. Diameter 1.3 cm."
386678,"Shoulder bag in grained imitation leather with a narrow, adjustable shoulder strap, flap with a zip, and a zipped inner compartment. Lined. Size 8x18x23 cm."
386681,Small bag with a narrow shoulder strap and a zip at the top. Lined. Size 16x22 cm.
386695,Small bag in embossed suede with a metal chain shoulder strap and flap with a magnetic fastener. Lined. Size 8x11x14 cm.
387444,Small bag in grained imitation leather with a zip at the top and a narrow shoulder strap with chain fastening. Lined. Size 3x14.5x21 cm.
390512,Hat in a soft rib knit containing some wool.
390531,Headband in a soft knit containing some wool and mohair.
402382,Scarf in a soft cashmere knit. Size 60x180 cm.
402389,Hat knitted in soft cashmere with a roll edge.
407653,Metal studs of various sizes. Some pairs with a faceted glass bead and some with plastic beads. Size from 0.3 to 0.9 cm.
407663,Round earrings in metal painted in various colours.
407806,Double metal bangle. Width 0.8 cm.
411974,"Trainers with lacing at the front, mesh linings, cotton twill insoles and rubber soles."
412579,"Tube scarf in a soft rib knit. Length 50 cm, circumference 65 cm."
417427,"Metal watch with a narrow, adjustable imitation leather strap and metal buckle. Width of strap 1.2 cm, total length 22 cm. Diameter of watch 3.8 cm."
