product_code,detail_desc
110065,"Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
111565,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
111586,Tights with built-in support to lift the bottom. Black in 30 denier and light amber in 15 denier.
111593,"Semi shiny tights that shape the tummy, thighs and calves while also encouraging blood circulation in the legs. Elasticated waist."
111609,Opaque matt tights. 200 denier.
114428,Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
123173,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.
144993,Matt tights with an elasticated waist and extra space for a growing tummy. 100 denier.
146730,Opaque matt leggings with an elasticated waist. 200 denier.
148033,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
153115,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
156224,Semi-matte socks with a short shaft. 20 denier.
156227,Four pairs of knee highs. 20 denier.
156231,Matt tights with an elasticated waist. 20 denier.
158340,High-waisted tights that lift the bum and shape the waist and thighs. 30 denier.
160442,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
164912,Fine-knit socks with a scalloped edge.
179208,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.
179393,Fine-knit over-the-knee socks.
182909,Opaque tights with an elasticated waist and soft fleece inside.
184121,"Bikini top with underwired, moulded, lightly padded cups, a metal fastener at the back, ties at the back of the neck and a bow at the front."
184123,Fully lined bikini bottoms with a mid waist and wide ties at the sides.
188183,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
190021,"Fine-knit, shaftless socks."
194037,Opaque leggings with soft thermal fleece inside and elastication at the waist and hems.
200182,Tights with an elasticated waist. 40 denier.
201219,Fine-knit tights with an elasticated waist.
205225,"Bikini top with a wrapover front, side support, ties at the back of the neck and wide ties at the back. Lined."
211143,"Pyjamas in a soft cotton weave. Long-sleeved shirt with notch lapels, buttons down the front, a chest pocket and buttoned cuffs. Short shorts with an elasticated drawstring waist."
215589,Tights with extra space for a growing tummy. 40 denier.
217727,Shaftless socks. 80 denier.
226959,"Over-the-knee socks in a soft, fine knit containing some wool."
228257,Tights with an elasticated waist. 20 denier.
234421,"Matt, opaque tights with extra room for a growing tummy. 200 denier."
234432,Push-up tights that lift and shape with an elasticated waist. 30 denier.
235732,Pyjamas in jersey. Long-sleeved top with ribbed cuffs. Leggings with an elasticated waist and ribbed hems.
240561,"Semi shiny tights that shape the tummy, thighs and calves, while also encouraging blood circulation in the legs. Elasticated waist. 70 denier."
243937,Fine-knit socks in a soft cotton blend.
250099,Fine-knit tights with extra space for a growing tummy.
251510,Push-up tights that lift and shape with an elasticated waist. 70 denier.
253176,Fully lined bikini bottoms with a low waist and cut-out sections at the sides.
253448,"Push-up bra in microfibre with underwired, moulded, padded cups for a larger bust and fuller cleavage, adjustable shoulder straps and a hook-and-eye fastening at the back."
256511,"Lined triangle bikini top with moulded, padded cups for a larger bust and fuller cleavage and ties at the back and back of the neck."
256513,Fully lined bikini bottoms with a low waist and ties at the sides.
265630,Shaftless socks in thin cotton jersey with a silicone trim around the heel.
266168,"Shorts in soft functional fabric that effectively regulates body heat to help you maintain a comfortable temperature. The shorts have a sculpting effect on the tummy, hips and thighs. 80 denier."
266873,Shaftless socks in thin cotton jersey with elastication at the top to hold them in place.
266875,"Lightweight, unlined liner socks in fast-drying functional fabric with reinforcement at the toes and heels."
278811,"Shaping bikers in microfibre with a high waist, lined gusset, longer legs and laser-cut edges. Light shaping effect on the waist, bum and hips."
280256,"Push-up bra with underwired, moulded, padded cups for a larger bust and fuller cleavage, narrow adjustable shoulder straps and a narrow fastener at the back with two pairs of hooks and eyes."
283532,"Lace bra with underwired, moulded, lightly padded cups that shape the bust and provide good support, extra-wide, adjustable shoulder straps and three rows of hook-and-eye fasteners at the back."
286536,"Push-up bra in microfibre with decorative straps at the front, underwired, moulded, padded cups for a larger bust and fuller cleavage, narrow adjustable shoulder straps that can be fastened together at the back and a narrow fastening at the back with two pairs of hooks and eyes."
297067,Flock-print tights with an elasticated waist.
297078,Textured-knit tights with an elasticated waist.
297791,"Thigh-high over-the-knee socks in a soft, rib-knit modal blend."
301213,"Nursing bra in soft microfibre with opening, cotton-lined cups with space for nursing pads. Adjustable shoulder straps and a fastening at the back."
304692,Knee socks in a soft rib knit containing some mohair.
304766,Socks in a soft rib knit containing some mohair.
304778,"Long, thick socks in a jacquard knit with a pile lining."
304786,"Socks in a soft, fine knit containing some wool and glittery threads."
305931,Leggings in imitation leather with an elasticated waist.
307239,"Shaping briefs in microfibre with a high waist, laser-cut edges and lined gusset. The briefs have a light shaping effect on the waist, bum and hips."
321249,Socks in a jacquard-knit cotton blend supplied in a transparent plastic Christmas tree bauble.
324946,Matt opaque tights with a control top to hold in the tummy and bum. 200 denier.
325027,"Nursing bras in soft stretch fabric with opening, lined cups with space for nursing pads, wide elastication under the bust and a hook-and-eye fastening at the back. Seamless."
325087,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back."
325542,"Long nightshirt in soft cotton flannel with notch lapels, a chest pocket, buttons down the front, buttoned cuffs, and a rounded hem. Slightly longer at the back."
329052,"Fully lined bikini top with a tie detail at the front, underwired, thickly padded cups to maximise the bust and create a fuller cleavage, ties at the neck and a metal fastener at the back."
335037,"Shaping bikers in microfibre with a high, elasticated waist, lined gusset and longer legs with laser-cut hems. Light shaping effect on the tummy, bum and thighs."
338400,"High-waisted briefs in microfibre with a laser-cut edges, a lined gusset and string back. The briefs have a light sculpting effect on the tummy, waist and hips."
341129,"Tights that provide support for the tummy, thighs and calves as well as encouraging good circulation in the legs. Elasticated waist and extra space for a growing tummy. 70 denier."
341186,Very thin tights with a control top to hold in the tummy and seat. The tights provide light support to help maintain good circulation in the legs. 7 denier.
341452,"Soft, non-wired bra in lace and microfibre with lightly padded, moulded cups that shape the bust and provide good support. Narrow, adjustable shoulder straps, a wide lace trim at the hem, and a wide strap with three pairs of hooks and eyes at the back."
342060,Tights that look like a pair of over-the-knee socks with an elasticated waist.
344905,Sturdy shaping shorts with longer legs that have a push-up effect on the seat while shaping the stomach and thighs. Seamless.
346539,Fine-knit socks in a soft cotton blend in various colours and designs.
