product_code,detail_desc
118458,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
176209,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
184583,"Trunks in stretch organic cotton jersey with flatlock seams, short legs, an elasticated waist and lined front."
190252,"Boxers in stretch organic cotton jersey with flatlock seams, slightly longer legs, an elasticated waist and lined front."
203595,Shirt in checked flannel with a collar and chest pocket. Regular fit.
212766,"Joggers in washed cotton twill with an elasticated drawstring waist, side and back pockets and elasticated hems. Loose fit."
219075,"Cargo trousers in washed Oxford cotton with side pockets, back pockets and leg pockets with a flap and press-stud, seams at the knees and drawstring hems."
233672,"Long-sleeved, V-neck T-shirt in stretch cotton-blend jersey. Slim fit."
234187,Cap in a cotton blend with a small embroidered detail and adjustable plastic fastener at the back.
241590,"Single-breasted jacket in woven fabric with narrow notch lapels, a decorative buttonhole and two buttons down the front. Chest pocket, flap front pockets and two inner pockets. Decorative buttons at the cuffs and a single back vent. Lined. Regular fit – a classic fit with good room for movement over the shoulders and chest, which combined with a gently shaped waist creates a comfortable, tailored silhouette. For the matching trousers, search on 0391772."
241602,"Single-breasted jacket in woven fabric with narrow notch lapels, a decorative buttonhole and two buttons down the front. Chest pocket, flap front pockets and two inner pockets, one with a button. Decorative buttons at the cuffs and a single back vent. Lined. Slim fit that tapers at the chest and waist, which combined with slightly narrower sleeves creates a fitted silhouette. For the matching trousers, search on 0391750."
245348,"Fine-knit hat with a pompom on top, a turned-up hem with a text motif, and a detachable pile beard."
250457,"5-pocket knee-length shorts in washed denim with hard-worn details, a regular waist and button fly."
264713,"Loafers in imitation suede with moccasin seams, decorative laces, fabric linings and insoles and rubber soles."
275362,"Knee-length shorts in sweatshirt fabric with a low crotch, elasticated drawstring waist, side pockets, back pockets and ribbed hems."
278563,Leather sandals with rubber soles.
283236,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
295873,"Leather gloves with decorative stitching on the uppers. Soft, knitted lining."
299768,Gloves in a fine-knit wool blend with a Thinsulate™ lining.
299841,Gloves in soft leather with a wool-blend lining.
300637,"Fingerless gloves in a soft, fine knit."
300696,"Fine-knit gloves with touchscreen-compatible material on the thumb, index and middle finger."
301227,Fine-knit socks.
302311,"Long-sleeved jumper in a soft, textured-knit cotton blend with ribbing around the neckline, cuffs and hem."
302334,Braided belt with imitation leather details and a metal buckle. Width 3.5 cm.
304576,Jersey T-shirt
307952,"Padded bomber jacket with a ribbed collar, zip at the front, zipped side pockets, a pocket on the sleeve, one inner pocket and ribbing at the cuffs and hem. Lined."
315497,"Double-layered hat in a soft, fine knit."
