,product_code
0,706016
1,599580
2,751471
3,783346
4,562245
5,759871
6,684209
7,832361
8,762846
9,720125
10,688537
11,717490
12,714790
13,841260
14,803757
15,806388
16,776237
17,610776
18,778064
19,372860
20,685816
21,448509
22,590928
23,695632
24,573085
25,572797
26,753737
27,827968
28,841383
29,685814
30,678942
31,741356
32,739590
33,554450
34,736530
35,841434
36,795440
37,796210
38,810838
39,748355
40,715624
41,351484
42,804992
43,554598
44,685813
45,568601
46,799365
47,456163
48,854043
49,749699
50,579541
51,866383
52,624486
53,835008
54,810557
55,798407
56,850917
57,690936
58,803986
59,829302
60,730683
61,824337
62,399256
63,832359
64,399087
65,689365
66,519583
67,852374
68,536139
69,160442
70,736531
71,723469
72,658030
73,752814
74,697564
75,769748
76,712924
77,572998
78,754404
79,791587
80,826955
81,798579
82,800691
83,677930
84,832453
85,816423
86,708311
87,719530
88,811925
89,811777
90,711053
91,664074
92,758034
93,757303
94,785018
95,621381
96,673396
97,826492
98,827957
99,859125
100,843685
101,760084
102,786304
103,819113
104,640021
105,559630
106,768759
107,636323
108,802485
109,464297
110,842952
111,608776
112,841228
113,845790
114,859139
115,825720
116,733098
117,689389
118,399223
119,827704
120,716672
121,851400
122,857812
123,674606
124,855080
125,879294
126,788846
127,858052
128,838787
129,864668
130,687704
131,779551
132,783707
133,732842
134,842605
135,832330
136,758002
137,824999
138,811907
139,868762
140,687034
141,803468
142,818754
143,820542
144,718278
145,877278
146,698276
147,816938
148,862325
149,822946
150,852775
151,807241
152,767869
153,835136
154,806131
155,823791
156,547780
157,470789
158,772773
159,825577
160,762143
161,794320
162,752689
163,598755
164,780297
165,779781
166,799421
167,759814
168,598515
169,831777
170,805000
171,854384
172,679853
173,600886
174,737040
175,816597
176,849859
177,821163
178,824764
179,836699
180,779725
181,842607
182,800245
183,678342
184,781758
185,719655
186,850426
187,570004
188,754238
189,797078
190,685811
191,762600
192,814766
193,811835
194,811887
195,770315
196,812364
197,700701
198,824995
199,827635
200,766346
201,579302
202,759465
203,800389
204,832298
205,799417
206,750422
207,557599
208,757995
209,767032
210,537116
211,825580
212,816591
213,679854
214,820484
215,614854
216,399061
217,699080
218,556539
219,815264
220,863565
221,723529
222,838055
223,691855
224,829017
225,228257
226,746994
227,832036
228,825550
229,811927
230,824526
231,759469
232,865171
233,804732
234,840360
235,399201
236,816953
237,811783
238,253448
239,751994
240,832331
241,797527
242,821115
243,611415
244,818024
245,736681
246,779659
247,863620
248,851546
249,688105
250,655784
251,819520
252,852174
253,688728
254,805011
255,857778
256,842062
257,860738
258,832465
259,708138
260,883033
261,832311
262,856440
263,879781
264,821148
265,720504
266,835348
267,278811
268,803985
269,863001
270,728156
271,829643
272,652924
273,694848
274,750424
275,756320
276,827083
277,816832
278,836142
279,828536
280,349301
281,882840
282,554477
283,855200
284,739819
285,795675
286,860833
287,516000
288,721270
289,862970
290,806241
291,808631
292,750423
293,660497
294,817110
295,827370
296,810419
297,827681
298,821397
299,849648
300,854301
301,707269
302,851094
303,820866
304,810825
305,841182
306,832481
307,768912
308,832732
309,817353
310,809883
311,816589
312,788632
313,659832
314,554479
315,822238
316,839194
317,858833
318,719957
319,683001
320,879248
321,713199
322,863937
323,794321
324,836284
325,836706
326,857924
327,708021
328,156231
329,740519
330,825318
331,797529
332,817361
333,856109
334,817491
335,568597
336,765739
337,849103
338,542533
339,832309
340,828982
341,844059
342,576897
343,714927
344,821336
345,767834
346,874547
347,797565
348,825811
349,827411
350,757552
351,787946
352,832284
353,755575
354,507909
355,837278
356,843687
357,733749
358,865076
359,859136
360,829845
361,882925
362,844874
363,665481
364,831467
365,824194
366,158340
367,730013
368,749615
369,850241
370,857880
371,876053
372,858147
373,817181
374,731160
375,852369
376,599718
377,570002
378,822311
379,396135
380,490176
381,851774
382,659854
383,557994
384,865520
385,827907
386,820613
387,827500
388,730863
389,759479
390,788768
391,803070
392,818397
393,823118
394,716947
395,834258
396,810169
397,887949
398,801452
399,757395
400,880839
401,812683
402,316441
403,837939
404,849886
405,841960
406,612800
407,822158
408,777148
409,855198
410,673677
411,559633
412,704126
413,757971
414,795975
415,681373
416,688558
417,826508
418,857570
419,822180
420,854338
421,847673
422,865086
423,817166
424,848681
425,845191
426,787481
427,826252
428,839332
429,840604
430,842727
431,825585
432,843873
433,751530
434,802023
435,570189
436,821152
437,670698
438,750330
439,814762
440,855249
441,680391
442,844915
443,817150
444,807244
445,707135
446,883024
447,575347
448,837306
449,803685
450,377277
451,839450
452,863000
453,732671
454,824490
455,569984
456,830016
457,843555
458,865799
459,748566
460,842302
461,870304
462,852513
463,713997
464,562498
465,824997
466,796137
467,781833
468,825782
469,658298
470,631536
471,822115
472,812464
473,608945
474,857855
475,852521
476,792469
477,373506
478,733097
479,835605
480,833021
481,802490
482,815851
483,856808
484,816841
485,870293
486,756318
487,179950
488,829145
489,759637
490,822344
491,818031
492,838729
493,809517
494,759481
495,809913
496,724905
497,859622
498,790791
499,715343
500,570003
501,682550
502,798416
503,797088
504,741040
505,599719
506,801512
507,875287
508,855793
509,721435
510,803772
511,787237
512,824778
513,863409
514,821395
515,801384
516,818605
517,429313
518,684021
519,853545
520,399136
521,746069
522,763469
523,819547
524,846181
525,843872
526,808841
527,868018
528,849711
529,828652
530,829646
531,811500
532,636505
533,861848
534,748140
535,882888
536,868164
537,859236
538,824340
539,850259
540,812363
541,852523
542,759482
543,835417
544,831302
545,682289
546,861847
547,743616
548,753692
549,754267
550,797079
551,849584
552,872813
553,717464
554,859247
555,808666
556,817736
557,810172
558,852536
559,865440
560,762856
561,473954
562,237347
563,815902
564,681381
565,825771
566,817069
567,824499
568,841699
569,848256
570,856527
571,669091
572,808628
573,841173
574,841185
575,814116
576,850897
577,752512
578,815434
579,507883
580,741220
581,506098
582,825572
583,723167
584,786187
585,699081
586,863024
587,857227
588,838834
589,860949
590,759423
591,668956
592,785515
593,806534
594,189616
595,828114
596,820507
597,511105
598,729928
599,842724
600,832320
601,828047
602,833499
603,724906
604,767473
605,111586
606,826498
607,861682
608,828067
609,704756
610,832321
611,823505
612,618287
613,846581
614,816612
615,772176
616,851062
617,761222
618,816166
619,852370
620,749509
621,858453
622,823165
623,866755
624,756322
625,818768
626,816933
627,746775
628,864500
629,818403
630,884851
631,743098
632,809901
633,741843
634,849361
635,900176
636,861765
637,736489
638,591466
639,860523
640,767862
641,714493
642,854733
643,801673
644,803969
645,574109
646,759480
647,703152
648,823436
649,714803
650,788107
651,752516
652,778062
653,792655
654,865374
655,305304
656,835634
657,809961
658,806248
659,778745
660,826949
661,762063
662,699598
663,832018
664,683662
665,838823
666,732103
667,589599
668,878510
669,823168
670,697054
671,636207
672,842238
673,797835
674,826203
675,870468
676,835602
677,820508
678,751592
679,821060
680,851065
681,578630
682,516859
683,597891
684,534164
685,782616
686,827799
687,872820
688,828934
689,806778
690,895582
691,594987
692,622958
693,808684
694,817086
695,693479
696,559616
697,860997
698,816563
699,793443
700,700765
701,842165
702,736049
703,867044
704,832051
705,842000
706,810587
707,863013
708,895506
709,875580
710,886189
711,761328
712,814763
713,795836
714,812525
715,877137
716,571706
717,827625
718,853839
719,717773
720,766402
721,849738
722,748269
723,735840
724,834534
725,814817
726,839496
727,803625
728,781813
729,148033
730,762205
731,815456
732,812241
733,807379
734,762656
735,733803
736,832307
737,803993
738,831568
739,835851
740,897505
741,761713
742,805308
743,745219
744,484398
745,863101
746,810777
747,837285
748,212629
749,835390
750,709987
751,851866
752,687524
753,833530
754,828991
755,763943
756,783504
757,842606
758,736870
759,869162
760,830489
761,509091
762,868939
763,757347
764,806528
765,834906
766,858565
767,831446
768,556260
769,817472
770,866218
771,855239
772,764073
773,854004
774,835704
775,844198
776,740498
777,761308
778,816970
779,829991
780,837741
781,873915
782,763270
783,837249
784,852300
785,794575
786,573937
787,884771
788,763275
789,794538
790,860249
791,811913
792,783517
793,845301
794,844483
795,681180
796,814631
797,664319
798,806012
799,809549
800,862956
801,821199
802,843373
803,756904
804,892910
805,851214
806,846327
807,783507
808,827487
809,708394
810,516903
811,756192
812,840607
813,827688
814,859416
815,871957
816,855737
817,826500
818,854193
819,792438
820,806605
821,846115
822,849586
823,786336
824,779554
825,751257
826,785071
827,757711
828,734435
829,760975
830,866387
831,768931
832,881396
833,821911
834,853785
835,730685
836,732206
837,835607
838,736783
839,768921
840,851606
841,710876
842,756633
843,716670
844,678707
845,874600
846,859153
847,854247
848,561445
849,827359
850,841807
851,854000
852,818391
853,875451
854,469562
855,855686
856,812658
857,664647
858,542402
859,864498
860,859148
861,870611
862,793137
863,724904
864,799687
865,810170
866,566140
867,887770
868,791795
869,831684
870,817152
871,812668
872,712216
873,489435
874,849868
875,738815
876,757741
877,840774
878,603145
879,769814
880,808659
881,687635
882,823324
883,868393
884,807681
885,624251
886,881950
887,801068
888,887593
889,762286
890,870282
891,750444
892,843332
893,829147
894,851110
895,700758
896,827682
897,885806
898,739362
899,820483
900,808021
901,803083
902,835639
903,869691
904,851992
905,815808
906,717816
907,812207
908,850242
909,798426
910,853931
911,828533
912,776179
913,822203
914,843793
915,739348
916,860705
917,833486
918,805986
919,797567
920,816588
921,785709
922,179123
923,802881
924,822355
925,305931
926,658329
927,886218
928,859805
929,811921
930,790096
931,754223
932,721990
933,696209
934,713993
935,887911
936,844160
937,777038
938,781180
939,729860
940,859668
941,524529
942,701853
943,833973
944,640664
945,762796
946,859077
947,826209
948,618800
949,829200
950,573716
951,693242
952,717370
953,820308
954,862990
955,767799
956,837448
957,826218
958,843720
959,740922
960,687948
961,866837
962,675662
963,765433
964,828814
965,591334
966,839265
967,831686
968,808651
969,727880
970,864040
971,852365
972,785575
973,301656
974,834217
975,875272
976,823793
977,595696
978,739144
979,828050
980,811719
981,798418
982,838197
983,728162
984,706509
985,766495
986,837941
987,832362
988,457722
989,826164
990,844409
991,763280
992,782734
993,788575
994,111593
995,751295
996,859327
997,797526
998,851142
999,858783
1000,872600
1001,859186
1002,831172
1003,877224
1004,809846
1005,804996
1006,616598
1007,808586
1008,737483
1009,851117
1010,699755
1011,841793
1012,864013
1013,785034
1014,854920
1015,817352
1016,825688
1017,805510
1018,868392
1019,837005
1020,843777
1021,880817
1022,818032
1023,763988
1024,824352
1025,853791
1026,871203
1027,843614
1028,823420
1029,857267
1030,848988
1031,844919
1032,807174
1033,838357
1034,756118
1035,820960
1036,862693
1037,828268
1038,855748
1039,820827
1040,294008
1041,799190
1042,790505
1043,818059
1044,831430
1045,806527
1046,755467
1047,740902
1048,747192
1049,771981
1050,689047
1051,805007
1052,620573
1053,716348
1054,492897
1055,832527
1056,791033
1057,815310
1058,841402
1059,774785
1060,850895
1061,876487
1062,825005
1063,772349
1064,624257
1065,659132
1066,812507
1067,749415
1068,860867
1069,714807
1070,829618
1071,826646
1072,189634
1073,819423
1074,879605
1075,693246
1076,822957
1077,863502
1078,872295
1079,871638
1080,458239
1081,771970
1082,721390
1083,864014
1084,833490
1085,856198
1086,814224
1087,754362
1088,747637
1089,698387
1090,616920
1091,677999
1092,726876
1093,775100
1094,825986
1095,331093
1096,773955
1097,751664
1098,829607
1099,663396
1100,756189
1101,828930
1102,215589
1103,702932
1104,243937
1105,862482
1106,867783
1107,826211
1108,612481
1109,868195
1110,852448
1111,850015
1112,894815
1113,874719
1114,739363
1115,893351
1116,788261
1117,301227
1118,812746
1119,816598
1120,401044
1121,851947
1122,715828
1123,846025
1124,784485
1125,825719
1126,761418
1127,871468
1128,603584
1129,589748
1130,841238
1131,832253
1132,861621
1133,854365
1134,801241
1135,753210
1136,719128
1137,523490
1138,821746
1139,840011
1140,895346
1141,818313
1142,875227
1143,772902
1144,860761
1145,774148
1146,808552
1147,865776
1148,777099
1149,111565
1150,850176
1151,852498
1152,851010
