,product_code
0,599580
1,684209
2,776237
3,554598
4,759871
5,706016
6,688537
7,806388
8,717490
9,610776
10,783346
11,562245
12,372860
13,685816
14,739590
15,816563
16,817472
17,778064
18,751471
19,841260
20,816166
21,749699
22,817353
23,811835
24,800691
25,859105
26,720125
27,811925
28,854683
29,841434
30,816423
31,690936
32,817401
33,624486
34,832453
35,791587
36,714790
37,823118
38,711053
39,806225
40,879248
41,818031
42,733749
43,857812
44,841383
45,866383
46,854677
47,832330
48,824764
49,741356
50,811907
51,810557
52,811927
53,766346
54,678942
55,399256
56,879781
57,664074
58,351484
59,876053
60,827968
61,832331
62,832361
63,854678
64,833530
65,524529
66,833499
67,559616
68,733097
69,856310
70,868018
71,640021
72,827411
73,780297
74,832359
75,579541
76,570004
77,160442
78,826508
79,811783
80,730683
81,834217
82,850244
83,599718
84,572797
85,697564
86,878013
87,556539
88,850259
89,821163
90,825720
91,832473
92,760084
93,821336
94,843872
95,799365
96,590928
97,817477
98,858052
99,770315
100,832036
101,860949
102,865073
103,863937
104,448509
105,832362
106,695632
107,599719
108,685813
109,852374
110,611415
111,859077
112,838055
113,687635
114,823165
115,883033
116,843873
117,783707
118,832481
119,621381
120,636323
121,570002
122,832465
123,854043
124,855080
125,698276
126,863000
127,824352
128,753737
129,700701
130,554450
131,851400
132,600886
133,570003
134,855793
135,767799
136,818036
137,716672
138,840607
139,862482
140,880839
141,811500
142,885710
143,835563
144,732842
145,850176
146,870970
147,748355
148,832309
149,685814
150,253448
151,895582
152,854193
153,547780
154,554477
155,757303
156,867044
157,687034
158,806528
159,855706
160,852746
161,860525
162,824337
163,854679
164,841699
165,800245
166,688105
167,803772
168,810838
169,852775
170,817361
171,854619
172,850241
173,806131
174,843793
175,842607
176,892051
177,658298
178,684021
179,757995
180,832482
181,829618
182,805011
183,559601
184,805510
185,901955
186,862167
187,832884
188,825600
189,762846
190,854338
191,408875
192,845032
193,573085
194,865076
195,861478
196,901607
197,571706
198,811398
199,820484
200,832298
201,859125
202,685604
203,828295
204,658030
205,659854
206,728156
207,895506
208,757971
209,823168
210,804992
211,907696
212,708311
213,679854
214,674606
215,887770
216,715624
217,854384
218,822311
219,817416
220,855249
221,278811
222,820960
223,872000
224,723469
225,768759
226,879436
227,758002
228,618287
229,687704
230,875469
231,873564
232,808028
233,816591
234,844409
235,850917
236,470789
237,816938
238,877961
239,861847
240,805308
241,559630
242,750424
243,823505
244,859808
245,878510
246,464297
247,832253
248,895002
249,820866
250,153115
251,807241
252,824340
253,906635
254,752814
255,861608
256,877014
257,822344
258,736530
259,804996
260,598755
261,842605
262,824767
263,717727
264,851010
265,765773
266,843685
267,852174
268,719655
269,859139
270,845790
271,759814
272,778534
273,816841
274,859236
275,349301
276,806241
277,698286
278,772773
279,815434
280,859136
281,876770
282,608945
283,575347
284,736870
285,809961
286,801452
287,854261
288,817491
289,889379
290,853881
291,832732
292,860336
293,767032
294,894139
295,856848
296,878794
297,844411
298,685811
299,832114
300,473954
301,796210
302,840360
303,714803
304,827359
305,862325
306,816588
307,817166
308,749615
309,900659
310,825585
311,838900
312,750422
313,700758
314,892408
315,797078
316,851110
317,847673
318,746994
319,803986
320,837741
321,834258
322,631536
323,373506
324,861848
325,589599
326,825318
327,488561
328,884174
329,754404
330,711582
331,843362
332,798407
333,759465
334,718278
335,876127
336,863001
337,557994
338,816521
339,568601
340,781758
341,790791
342,212629
343,866731
344,865917
345,536139
346,812207
347,894140
348,835008
349,717464
350,699923
351,614854
352,895993
353,817110
354,713199
355,868751
356,812658
357,736681
358,860322
359,787946
360,808698
361,612800
362,861173
363,509091
364,691855
365,566140
366,784001
367,859424
368,821398
369,834412
370,849214
371,865171
372,729928
373,872378
374,843777
375,887911
376,827704
377,875451
378,865799
379,720504
380,707269
381,595696
382,559633
383,688728
384,811777
385,816953
386,762286
387,880186
388,751551
389,841228
390,842062
391,723529
392,827687
393,812271
394,863456
395,557599
396,833500
397,826150
398,863477
399,752689
400,506098
401,851094
402,825811
403,772349
404,523490
405,677930
406,861411
407,856617
408,781613
409,868392
410,882888
411,826252
412,853839
413,832284
414,399223
415,898075
416,399061
417,769748
418,753802
419,850984
420,294008
421,797835
422,757347
423,768912
424,764280
425,826949
426,869811
427,849859
428,811333
429,865921
430,803757
431,797527
432,860820
433,807244
434,875329
435,841173
436,822946
437,746069
438,589722
439,841793
440,824490
441,713997
442,878629
443,872013
444,871243
445,861477
446,861767
447,730013
448,888229
449,844294
450,646490
451,897693
452,901638
453,856840
454,671777
455,859081
456,860819
457,805000
458,850249
459,881817
460,715343
461,490176
462,857277
463,642498
464,756322
465,399087
466,901281
467,837306
468,836699
469,827635
470,821148
471,660497
472,757915
473,872177
474,873604
475,712924
476,880749
477,429313
478,865880
479,756318
480,861410
481,673396
482,832311
483,825771
484,809883
485,894756
486,872600
487,863565
488,864953
489,808666
490,875239
491,828067
492,886241
493,865490
494,501620
495,736783
496,719530
497,864928
498,893064
499,827370
500,820572
501,678342
502,829017
503,702932
504,852584
505,782616
506,874465
507,658329
508,865520
509,842112
510,857453
511,888331
512,808628
513,733803
514,864755
515,856808
516,888727
517,874669
518,795675
519,699598
520,825577
521,857621
522,852365
523,492897
524,505882
525,759326
526,734435
527,756320
528,779781
529,829643
530,823791
531,808840
532,598515
533,831282
534,665481
535,750423
536,795440
537,879944
538,616920
539,712216
540,810419
541,881759
542,841473
543,818059
544,757805
545,884920
546,865533
547,861803
548,859399
549,572998
550,853931
551,630994
552,767377
553,869397
554,870304
555,724906
556,871477
557,840351
558,798579
559,800389
560,654410
561,589017
562,699080
563,685602
564,861600
565,519583
566,220094
567,882760
568,862693
569,859208
570,721990
571,858161
572,839496
573,779725
574,799409
575,865873
576,585480
577,840947
578,848681
579,880358
580,916350
581,825550
582,762143
583,751994
584,850426
585,818032
586,877278
587,845181
588,794389
589,739819
590,825719
591,808685
592,856919
593,874122
594,594987
595,699081
596,754238
597,875350
598,679284
599,870611
600,817069
601,857571
602,652924
603,811899
604,842238
605,456163
606,516000
607,868213
608,808624
609,763275
610,689365
611,770336
612,843373
613,748566
614,822238
615,694848
616,841960
617,877279
618,810169
619,851214
620,851780
621,778062
622,837278
623,821513
624,921096
625,849648
626,878816
627,887830
628,762656
629,834906
630,759482
631,863980
632,817354
633,832527
634,830953
635,758034
636,839402
637,689389
638,855769
639,859186
640,874320
641,878733
642,865440
643,859805
644,880238
645,864316
646,852420
647,879294
648,802980
649,893351
650,834179
651,791033
652,708138
653,816759
654,869691
655,719128
656,883068
657,882066
658,837351
659,849738
660,803985
661,900235
662,826203
663,868164
664,899002
665,868161
666,851774
667,608776
668,759469
669,556260
670,836997
671,562498
672,881031
673,816589
674,850277
675,656677
676,838787
677,802979
678,827907
679,873977
680,854356
681,813538
682,762188
683,745232
684,848460
685,875580
686,872085
687,649440
688,752516
689,554479
690,854883
691,865458
692,597891
693,717370
694,892910
695,779659
696,786304
697,755575
698,861442
699,507909
700,886569
701,752514
702,862821
703,829302
704,214844
705,923134
706,806534
707,857448
708,874035
709,861443
710,831430
711,827500
712,803969
713,860305
714,881823
715,829054
716,832475
717,688558
718,900176
719,864309
720,824194
721,868005
722,821395
723,228257
724,591466
725,891199
726,859205
727,751664
728,767605
729,857572
730,859400
731,850242
732,840604
733,886754
734,842952
735,788846
736,779551
737,868309
738,523489
739,857574
740,897423
741,713253
742,826164
743,859148
744,870290
745,883026
746,817067
747,872820
748,809549
749,874064
750,818614
751,866261
752,858640
753,833021
754,854262
755,802485
756,753692
757,766495
758,831777
759,799410
760,818030
761,757671
762,701472
763,516859
764,902107
765,831269
766,829991
767,897901
768,743616
769,832320
770,810825
771,399201
772,872278
773,707135
774,817417
775,860705
776,814641
777,829145
778,852300
779,767834
780,855200
781,838640
782,853390
783,719629
784,534164
785,855198
786,832312
787,568597
788,812364
789,913030
790,857427
791,828536
792,863067
793,655784
794,741220
795,849711
796,861469
797,831273
798,859363
799,636207
800,808569
801,820507
802,866260
803,872233
804,737040
805,822158
806,863163
807,825580
808,730863
809,806529
810,818024
811,670698
812,841182
813,884081
814,839194
815,855748
816,872453
817,914351
818,815264
819,849361
820,750330
821,862340
822,849886
823,865072
824,868762
825,853474
826,835605
827,883024
828,863599
829,877273
830,871992
831,849868
832,828652
833,862937
834,851317
835,835851
836,858172
837,867357
838,266875
839,861765
840,852498
841,808684
842,874952
843,777099
844,832084
845,838357
846,863570
847,865624
848,729860
849,881933
850,908492
851,857171
852,899003
853,875040
854,820505
855,844160
856,818397
857,839311
858,910132
859,736531
860,717251
861,879965
862,685600
863,872813
864,884771
865,892354
866,767869
867,659132
868,722803
869,733067
870,841402
871,808552
872,880099
873,882961
874,823518
875,897270
876,835607
877,838340
878,806778
879,866714
880,874113
881,818029
882,810172
883,179950
884,868680
885,890631
886,843614
887,479167
888,827957
889,852219
890,820308
891,740922
892,831809
893,820827
894,855081
895,751273
896,829646
897,824526
898,884405
899,812464
900,808748
901,640542
902,878080
903,875287
904,817086
905,739659
906,858833
907,895804
908,836364
909,858381
910,830919
911,766402
912,854733
913,817358
914,750519
915,807174
916,861514
917,858313
918,854687
919,704126
920,861471
921,653188
922,851546
923,839332
924,739144
925,734460
926,845301
927,805007
928,713993
929,751567
930,808023
931,743633
932,716947
933,829147
934,887949
935,759159
936,690644
937,156231
938,865594
939,851065
940,489435
941,885468
942,824995
943,852577
944,857570
945,490113
946,846782
947,827083
948,843284
949,812363
950,887593
951,853325
952,701046
953,857855
954,761713
955,811900
956,838920
957,788261
958,865532
959,767862
960,542464
961,832997
962,838809
963,853785
964,500435
965,878508
966,879166
967,631744
968,859737
969,679853
970,871581
971,801068
972,863561
973,817181
974,736489
975,719957
976,865595
977,864509
978,892318
979,899247
980,885624
981,905614
982,851374
983,845576
984,816241
985,877069
986,681180
987,854885
988,863587
989,793185
990,608007
991,853612
992,873552
993,556255
994,656763
995,507883
996,846139
997,860411
998,868939
999,801512
1000,739362
1001,570319
1002,851167
1003,723349
1004,763988
1005,837939
1006,892937
1007,906645
1008,307239
1009,852369
1010,860367
1011,743098
1012,843772
1013,700817
1014,727880
1015,752554
1016,851608
1017,755473
1018,869663
1019,884851
1020,818779
1021,746775
1022,879298
1023,894135
1024,851363
1025,877599
1026,573152
1027,896506
1028,837941
1029,848082
1030,864216
1031,851936
1032,880195
1033,740519
1034,814762
1035,767577
1036,733098
1037,879176
1038,666392
1039,854637
1040,804916
1041,864498
1042,849493
1043,766435
1044,893796
1045,823436
1046,865172
1047,815851
1048,751530
1049,742400
