,product_code
0,706016
1,562245
2,695632
3,573085
4,679853
5,673677
6,399223
7,685814
8,752814
9,763280
10,796210
11,720125
12,536139
13,715624
14,762205
15,697054
16,730683
17,608776
18,554450
19,738943
20,733098
21,685813
22,788632
23,746775
24,693242
25,556539
26,399087
27,687704
28,568601
29,772902
30,537116
31,516000
32,826492
33,757903
34,753737
35,399256
36,687524
37,842605
38,783707
39,788455
40,456163
41,736530
42,801309
43,777504
44,658030
45,792817
46,803757
47,812683
48,448509
49,812167
50,763270
51,372860
52,464297
53,762846
54,777070
55,778064
56,825688
57,820563
58,759871
59,737224
60,708311
61,821663
62,717490
63,775996
64,660599
65,599580
66,689365
67,785018
68,685816
69,762796
70,826498
71,158340
72,762856
73,794575
74,781613
75,799421
76,799365
77,715828
78,806388
79,736531
80,611415
81,781758
82,732409
83,859247
84,399201
85,664074
86,857880
87,591334
88,701134
89,547780
90,156231
91,787696
92,811913
93,777148
94,824497
95,516903
96,719655
97,799417
98,636323
99,111586
100,534181
101,189616
102,739953
103,764624
104,737222
105,688558
106,754362
107,806261
108,769814
109,618800
110,674606
111,820428
112,757303
113,568597
114,573716
115,228257
116,821152
117,574109
118,820873
119,714790
120,795675
121,771829
122,824185
123,662948
124,751471
125,749400
126,683001
127,579302
128,757904
129,763673
130,823317
131,835247
132,807379
133,783440
134,111593
135,731160
136,519583
137,733101
138,720504
139,803118
140,754323
141,767834
142,802023
143,828114
144,803986
145,590928
146,677930
147,770351
148,693243
149,658298
150,826500
151,572797
152,738133
153,819139
154,804992
155,824148
156,831211
157,399136
158,754267
159,429313
160,563519
161,819143
162,579541
163,819147
164,436261
165,691300
166,739348
167,160442
168,763282
169,661794
170,719530
171,806412
172,814684
173,316085
174,707269
175,693246
176,772829
177,772773
178,721266
179,673396
180,787880
181,761296
182,739347
183,539291
184,771557
185,428291
186,662888
187,760084
188,779324
189,633977
190,797527
191,735840
192,815264
193,788846
194,729928
195,201219
196,790006
197,818024
198,750423
199,679285
200,812807
201,736870
202,659832
203,742561
204,809961
205,711053
206,622955
207,740498
208,797394
209,782874
210,844915
211,784485
212,797529
213,756099
214,754262
215,828991
216,817280
217,767869
218,759814
219,679854
220,788651
221,624486
222,790383
223,621381
224,842302
225,564358
226,754404
227,798791
228,728156
229,507909
230,297067
231,719957
232,798763
233,781833
234,810825
235,723469
236,464927
237,789309
238,678696
239,824821
240,598515
241,777628
242,759465
243,543054
244,791293
245,836327
246,570003
247,797710
248,756318
249,809883
250,735607
251,826776
252,469562
253,787285
254,830770
255,821683
256,770352
257,683662
258,610776
259,614854
260,796374
261,721268
262,790368
263,817491
264,678687
265,316441
266,750422
267,516859
268,714620
269,708138
270,788261
271,793949
272,824575
273,718278
274,807241
275,794053
276,786347
277,794793
278,741478
279,788006
280,791587
281,569984
282,799190
283,678942
284,805000
285,812027
286,817392
287,714927
288,786925
289,768931
290,784650
291,807244
292,789303
293,820613
294,809411
295,783244
296,825733
297,784547
298,803647
299,755362
300,495685
301,800389
302,775100
303,811198
304,794819
305,801384
306,796179
307,755360
308,465655
309,777143
310,841260
311,730863
312,678342
313,678086
314,748269
315,772832
316,507883
317,827635
318,792521
319,741843
320,770345
321,824995
322,827698
323,751542
324,753214
325,789772
326,754223
327,783346
328,732842
329,793108
330,751994
331,490176
332,640539
333,830016
334,770315
335,634426
336,816586
337,749615
338,805772
339,780418
340,792490
341,843555
342,806269
343,716590
344,123173
345,751593
346,755361
347,797088
348,783384
349,772005
350,787237
351,801865
352,570002
353,774148
354,814293
355,487722
356,792695
357,689389
358,842245
359,664405
360,740902
361,827637
362,623115
363,822180
364,297078
365,806243
366,772774
367,829977
368,819404
369,673638
370,240561
371,655784
372,784926
373,792058
374,740820
375,542402
376,766829
377,598755
378,554598
379,742079
380,754751
381,554772
382,811184
383,717464
384,789326
385,148033
386,652924
387,789301
388,702208
389,675068
390,628813
391,733045
392,786304
393,810419
394,751664
395,827349
396,785710
397,179123
398,834749
399,755574
400,754238
401,750397
402,741040
403,200182
404,821031
405,828652
406,664647
407,688105
408,866383
409,708021
410,650122
411,781592
412,520427
413,849859
414,576897
415,804661
416,754758
417,803468
418,461327
419,835730
420,587137
421,810838
422,820168
423,828934
424,537895
425,794768
426,809521
427,557599
428,840873
429,768912
430,787946
431,780172
432,800800
433,685044
434,842606
435,807329
436,800691
437,789028
438,761621
439,712924
440,448515
441,748355
442,300024
443,796046
444,776041
445,351484
446,615141
447,305931
448,786187
449,839158
450,752689
451,820671
452,756320
453,787387
454,484398
455,774005
456,818754
457,789808
458,802490
459,578476
460,805406
461,762656
462,832616
463,564786
464,811887
465,767862
466,733027
467,721270
468,777892
469,680391
470,243937
471,792851
472,751998
473,752869
474,832307
475,652730
476,636207
477,776179
478,714807
479,840566
480,559633
481,793856
482,664133
483,253448
484,762896
485,569997
486,727808
487,470789
488,779349
489,179950
490,795440
491,724729
492,706271
493,794007
494,584631
495,816598
496,761204
497,749699
498,786336
499,669091
500,764415
501,800804
502,681180
503,789304
504,812241
505,796806
506,770321
507,819140
508,792438
509,828982
510,802485
511,743616
512,821674
513,800807
514,699361
515,693497
516,790651
517,580482
518,803772
519,801554
520,789921
521,783245
522,564334
523,722439
524,765829
525,820870
526,784698
527,798407
528,812364
529,762261
530,763943
531,682550
532,754697
533,821643
534,803985
535,853089
536,835801
537,815808
538,762143
539,807055
540,589748
541,852940
542,818029
543,189634
544,824774
545,790448
546,737543
547,810005
548,712216
549,834906
550,816832
551,417951
552,730946
553,775825
554,708394
555,793378
556,784229
557,773719
558,754257
559,809757
560,829302
561,700765
562,740930
563,783309
564,817150
565,790096
566,789060
567,856440
568,829017
569,759469
570,682509
571,794320
572,777434
573,806605
574,779842
575,774224
576,523490
577,820308
578,788248
579,781688
580,603145
581,700761
582,809549
583,781660
584,681373
585,795706
586,836009
587,408647
588,801673
589,793137
590,631536
591,660308
592,794321
593,691177
594,862590
595,793385
596,748588
597,790645
598,768465
599,779781
600,762600
601,842678
602,835634
603,790791
604,860833
605,801301
606,690222
607,633152
608,775081
609,473954
610,688537
611,782555
612,797624
613,794468
614,549914
615,687948
616,400285
617,774151
618,845614
619,784467
620,761712
621,408664
622,762015
623,772785
624,788575
625,824752
626,814116
627,767655
628,792666
629,752516
630,787216
631,573937
632,806775
633,768610
634,740922
635,825728
636,790644
637,587026
638,698328
639,743098
640,813242
641,753210
642,749407
643,744934
644,775077
645,773955
646,788176
647,736049
648,839672
649,761406
650,318066
651,805921
652,831918
653,795536
654,401044
655,767422
656,761269
657,851117
658,733099
659,787481
660,752857
661,681179
662,740519
663,660497
664,753692
665,792517
666,802974
667,194037
668,825708
669,761622
670,728162
671,752744
672,812189
673,759909
674,780510
675,665481
676,798779
677,814762
678,805011
679,816597
680,849886
681,540701
682,589599
683,562613
684,779068
685,679280
686,642437
687,803592
688,807064
689,841182
690,756322
691,797150
692,761664
693,759394
694,823494
695,658495
696,640174
697,624257
698,771602
699,841383
700,792655
701,765362
702,733100
703,699598
704,685017
705,700701
706,827370
707,814962
708,814129
709,501616
710,600886
711,798952
712,751530
713,772033
714,620425
715,752000
716,791132
717,820360
718,237347
719,827083
720,741259
721,732017
722,817869
723,562498
724,820542
725,836142
726,755440
727,699755
728,770346
729,856732
730,701472
731,794054
732,826255
733,441386
734,795552
735,821673
736,749415
737,755754
738,841807
739,758034
740,774012
741,812320
742,699080
743,804666
744,529953
745,523489
746,792515
747,763275
748,241412
749,796275
750,851094
751,457466
752,501722
753,815026
754,771826
755,700737
756,805323
757,793025
758,111565
759,711440
760,736887
761,784537
762,810671
763,740210
764,671607
765,831369
766,814719
767,811777
768,749974
769,815902
770,798579
771,788633
772,770703
773,741356
774,797892
775,765517
776,795836
777,825700
778,688728
779,743840
780,810557
781,830581
782,816919
783,598859
784,761221
785,757906
786,523936
787,616598
788,710876
789,605094
790,692155
791,757905
792,820906
793,764581
794,761432
795,664319
796,760214
797,312878
798,679284
799,779706
800,767317
801,806373
802,777038
803,855080
804,619234
805,757971
806,797565
807,837694
808,788328
809,829014
810,690734
811,803625
812,694848
813,452818
814,806335
815,594987
816,756687
817,678691
818,215589
819,781608
820,799070
821,834412
822,695325
823,804664
824,763988
825,761339
826,822789
827,618319
828,819423
829,807926
830,578478
831,757286
832,841367
833,784272
834,786245
835,800796
836,778270
837,803544
838,806012
839,787123
840,811683
841,509091
842,542533
843,742947
844,856232
845,569996
846,685815
847,715343
848,772570
849,753255
850,226959
851,810008
852,408649
853,373506
854,851142
855,611020
856,790132
857,811200
858,811783
859,693944
860,804732
861,809874
862,695457
863,842361
864,706371
865,717816
866,799431
867,575347
868,532578
869,723529
870,622963
871,772046
872,817864
873,649397
874,760123
875,691072
876,837114
877,713997
878,622969
879,839332
880,781078
881,787235
882,819137
883,182909
884,740208
885,645930
886,534164
887,787028
888,785665
889,822115
890,120129
891,739334
892,757909
893,769061
894,665089
895,810592
896,785784
897,691855
898,752002
899,828830
900,682236
901,824143
902,807283
903,832361
904,835348
905,789023
906,791795
907,301227
908,666444
909,564448
910,224606
911,767577
912,819082
913,595773
914,830365
915,820601
916,584298
917,802461
918,784276
919,555109
920,842952
921,821398
922,457892
923,739590
924,795243
925,572998
926,762063
927,754713
928,842607
929,767893
930,742034
931,111609
932,745397
933,823553
934,662592
935,832841
936,775105
937,395127
938,761415
939,670334
940,721390
941,814634
942,533406
943,859232
944,770697
945,815456
946,787307
947,820464
948,789081
949,324946
950,681657
951,678707
952,708868
953,473507
954,640021
955,824209
956,852092
957,811235
958,541518
959,377277
960,824997
961,762666
962,787884
963,827907
964,809357
965,812080
966,739362
967,760454
968,682511
969,850917
970,789119
971,813898
972,712587
973,814441
974,806847
975,819547
976,844483
977,824310
978,772822
979,818764
980,759482
981,688933
982,304778
983,760223
984,785086
985,742038
986,663518
987,535035
988,874240
989,799382
990,736917
991,852523
992,757964
993,799069
994,429322
995,804750
996,740812
997,819520
998,768229
999,839674
1000,685468
1001,564309
1002,682771
1003,795885
1004,378447
1005,854576
1006,804682
1007,794454
1008,860260
1009,810831
1010,764355
1011,733782
1012,762235
1013,764582
1014,830742
1015,831961
1016,809523
1017,741806
1018,762212
1019,622962
1020,803990
1021,803367
1022,266875
1023,684272
1024,763468
1025,710194
1026,732412
1027,682260
1028,826646
1029,562252
1030,798426
1031,688341
1032,214844
1033,829717
1034,798827
1035,739346
1036,811279
1037,830100
1038,478646
1039,739363
1040,799427
1041,233091
1042,824360
1043,789049
1044,647982
1045,779098
1046,756428
1047,781813
1048,805038
1049,741848
1050,724905
1051,543035
1052,804292
1053,794396
1054,751592
1055,838324
1056,704756
1057,761285
1058,801765
1059,784972
1060,803993
1061,731146
1062,659132
1063,842314
1064,809362
1065,750398
1066,784858
1067,807215
1068,736066
1069,765502
1070,744291
1071,771942
1072,846347
1073,821060
1074,703152
1075,843465
1076,570189
1077,570004
1078,788578
1079,426199
1080,764088
1081,660726
1082,605106
1083,701509
1084,697050
1085,620573
1086,823063
1087,784001
1088,855076
1089,703207
1090,795428
1091,794494
1092,756189
1093,764387
1094,761713
1095,796314
1096,801512
1097,756662
1098,781579
1099,783302
1100,799067
1101,801295
1102,790051
1103,701853
1104,875287
1105,783621
1106,788106
1107,765510
1108,787095
1109,791637
1110,153115
1111,772349
1112,764598
1113,719544
1114,768921
1115,309864
1116,819113
1117,752512
1118,864500
1119,678624
1120,799044
1121,701657
1122,786752
1123,855851
1124,855857
1125,186262
1126,854993
1127,639450
1128,828047
1129,652731
1130,396135
1131,790564
1132,721267
1133,797118
1134,811099
1135,785041
1136,764520
1137,810007
1138,823791
1139,637255
1140,852162
1141,809278
1142,853807
1143,729860
1144,853198
1145,791571
1146,696942
1147,787260
1148,821199
1149,789403
1150,809333
1151,762310
1152,570319
1153,750424
1154,469658
1155,805936
1156,835045
1157,745250
1158,751214
1159,700758
1160,803080
1161,830417
1162,803892
1163,788768
1164,806248
1165,783333
1166,736489
1167,821397
1168,796424
1169,823430
1170,788647
1171,783925
1172,819485
1173,744276
1174,671852
1175,732413
1176,795790
1177,853376
1178,614622
1179,768739
1180,639448
1181,689047
1182,863665
1183,809913
1184,818882
1185,772761
1186,854043
1187,788326
1188,824706
1189,793886
1190,650279
1191,799349
1192,681176
1193,509669
1194,765308
1195,784175
1196,762884
1197,763276
1198,793012
1199,836265
1200,785226
1201,808552
1202,860885
1203,787181
1204,709987
1205,798868
1206,774106
1207,851400
1208,799487
1209,796240
1210,826218
1211,785069
1212,800803
1213,784722
1214,742258
1215,811959
1216,812363
1217,824905
1218,836600
1219,788429
1220,839673
1221,802554
1222,775328
1223,742124
1224,828928
1225,747967
1226,771981
1227,502522
1228,561445
1229,656491
1230,568808
1231,714032
1232,653188
1233,708767
1234,688464
1235,835417
1236,845998
1237,775388
1238,809238
1239,722475
1240,752514
1241,718747
1242,802815
1243,827697
1244,796870
1245,673281
1246,632803
1247,436083
1248,776237
1249,821759
1250,812271
1251,779910
1252,156227
1253,836485
1254,788093
1255,639511
1256,820507
1257,786132
1258,784396
1259,550021
1260,794389
1261,605690
1262,805321
1263,779554
1264,837743
1265,821992
1266,781180
1267,809025
1268,789770
1269,817152
1270,814686
1271,560047
1272,831024
1273,761717
1274,693479
1275,732188
1276,663519
1277,805947
1278,684340
1279,824999
1280,722169
1281,680441
1282,337991
1283,757552
1284,608458
1285,734592
1286,822877
1287,455832
1288,832520
1289,790505
1290,783497
1291,805473
1292,698387
1293,734623
1294,770607
1295,853654
1296,767423
1297,768189
1298,806931
1299,760857
1300,804190
1301,834442
1302,789087
1303,801208
1304,837360
1305,699923
1306,741985
1307,835549
1308,526842
1309,559630
1310,764895
1311,763037
1312,835543
1313,777851
1314,736923
1315,759481
1316,738815
1317,663564
1318,719523
1319,464908
1320,829693
1321,729322
1322,730570
1323,777714
1324,818264
1325,853090
1326,251510
1327,828992
1328,751591
1329,790635
1330,829783
1331,837325
1332,799084
1333,812888
1334,652246
1335,513699
1336,832999
1337,688474
1338,699081
1339,750444
1340,711957
1341,748595
1342,759580
1343,827682
1344,809230
1345,785058
1346,578487
1347,812484
1348,861569
1349,684062
1350,793506
1351,840604
1352,763322
1353,850594
1354,799071
1355,714825
1356,767473
1357,746069
1358,727611
1359,777273
1360,702932
1361,779782
1362,848681
1363,827632
1364,778051
1365,516712
1366,732311
1367,852174
1368,826209
1369,546406
1370,695545
1371,761217
1372,413707
1373,828067
1374,737221
1375,712711
1376,837941
1377,818894
1378,746168
1379,864846
1380,719214
1381,725334
1382,578630
1383,812464
1384,829451
1385,743049
1386,714026
1387,816083
1388,772014
1389,826213
1390,742086
1391,756904
1392,624383
1393,796241
1394,799742
1395,815851
1396,833931
1397,807691
1398,715524
1399,807079
1400,797112
1401,614496
1402,849267
1403,657335
1404,835390
1405,754348
1406,797078
1407,766654
1408,736213
1409,813993
1410,796042
1411,678280
1412,765739
1413,791522
1414,845790
1415,509210
1416,787894
1417,781381
1418,759410
1419,775624
1420,677224
1421,760111
1422,762741
1423,744786
1424,682238
1425,705966
1426,662369
1427,771970
1428,564310
1429,759391
1430,337777
1431,711649
1432,812525
1433,713993
1434,797567
1435,766402
1436,836226
1437,788946
1438,745014
1439,787164
1440,565379
1441,748853
1442,510465
1443,698276
1444,556260
1445,794971
1446,656719
1447,795975
1448,799428
1449,585130
1450,851090
1451,802897
1452,834426
1453,848869
1454,770359
1455,684209
1456,814705
1457,779059
1458,796033
1459,828268
1460,756415
1461,785034
1462,795425
1463,828465
1464,788688
1465,790976
1466,757671
1467,685811
1468,432566
1469,733067
1470,783388
1471,758226
1472,729002
1473,739529
1474,824778
1475,787128
1476,841960
1477,793443
1478,739680
1479,740213
1480,846581
1481,850581
1482,585158
1483,713995
1484,452618
1485,486639
1486,556560
1487,810908
1488,708471
1489,608007
1490,807922
1491,842680
1492,522461
1493,777292
1494,721320
1495,723799
1496,792023
1497,716348
1498,713380
1499,796243
1500,772578
1501,807174
1502,786193
1503,827833
1504,612481
1505,697027
1506,753061
1507,552041
1508,787180
1509,357751
1510,567532
1511,715424
1512,812507
1513,790450
1514,693322
1515,769573
1516,810156
1517,688430
1518,798734
1519,690449
1520,786751
1521,766965
1522,770350
1523,771005
1524,857924
1525,829052
1526,589440
1527,806778
1528,791152
1529,647781
1530,827824
1531,815001
1532,739364
1533,813145
1534,599502
1535,851062
1536,688432
1537,811525
1538,667409
1539,453358
1540,785089
1541,640314
1542,603584
1543,737040
1544,655710
1545,156224
1546,555353
1547,658558
1548,814766
1549,748566
1550,350911
1551,810332
1552,826760
1553,751295
1554,790716
1555,708185
1556,792469
1557,832535
1558,702368
1559,826832
1560,780322
1561,806645
1562,835296
1563,829200
1564,806986
1565,777467
1566,787558
1567,736102
1568,856173
1569,830540
1570,852370
1571,721450
1572,851856
1573,783734
1574,718982
1575,741716
1576,729136
1577,663007
1578,754356
1579,808569
1580,831686
1581,775382
1582,696749
1583,764563
1584,721990
1585,754413
1586,855216
1587,749384
1588,820139
1589,805510
1590,708230
1591,855748
1592,567424
1593,799687
1594,786920
1595,819826
1596,817736
1597,823798
1598,780414
1599,727004
1600,399061
1601,798826
1602,788463
1603,663568
1604,304786
1605,796685
1606,278811
1607,777743
1608,807756
1609,757333
1610,458239
1611,572957
1612,741054
1613,792604
1614,808021
1615,813880
1616,731119
1617,777435
1618,811663
1619,808586
1620,780361
1621,811107
1622,696209
1623,862379
1624,731520
1625,843817
1626,764280
1627,845446
1628,803229
1629,810169
1630,553611
1631,804735
1632,684673
1633,499334
1634,807176
1635,720810
1636,814649
1637,835902
1638,786743
1639,854301
1640,791663
1641,803996
1642,764045
1643,759480
1644,837788
1645,684021
1646,508318
1647,871957
1648,833499
1649,678642
1650,761701
1651,806807
1652,858460
1653,735608
1654,808584
1655,773808
1656,146730
1657,743630
1658,856808
1659,763978
1660,788301
1661,842061
1662,639965
1663,730687
1664,823793
1665,747015
1666,723173
1667,622958
1668,798416
1669,839904
1670,837443
1671,827420
1672,724399
1673,815072
1674,653275
1675,505224
1676,826224
1677,825726
1678,837249
1679,825801
1680,771259
1681,853752
1682,800665
1683,554479
1684,768932
1685,747984
1686,801452
1687,723380
1688,677932
1689,564311
1690,796010
1691,767079
1692,777441
1693,755363
1694,333323
1695,818605
1696,552716
1697,804691
1698,543310
1699,805275
1700,797942
1701,794075
1702,761418
1703,785827
1704,733029
1705,501820
1706,723349
1707,670698
1708,837938
1709,745219
1710,671217
1711,772662
1712,798418
1713,772843
1714,823382
1715,704720
1716,407653
1717,765433
1718,722520
1719,784427
1720,756684
1721,785853
1722,774003
1723,745232
1724,761417
1725,782096
1726,822351
1727,753031
1728,754763
1729,301656
1730,792753
1731,826252
1732,784406
1733,559616
1734,763323
1735,757915
1736,649046
1737,825771
1738,696991
1739,829078
1740,847959
1741,782446
1742,737486
1743,809206
1744,811352
1745,734461
1746,834002
1747,845436
1748,796239
1749,819004
1750,819714
1751,742455
1752,828631
1753,464277
1754,754132
1755,730901
1756,554541
1757,443696
1758,847967
1759,864216
1760,689009
1761,784587
1762,772133
1763,408875
1764,634009
1765,853636
1766,767925
1767,758266
1768,803378
1769,794538
1770,854365
1771,768551
1772,742400
1773,831417
1774,780653
1775,796053
1776,713199
1777,322017
1778,842755
1779,762275
1780,798972
1781,794620
1782,820868
1783,754770
1784,733378
1785,804662
1786,807281
1787,816578
